Type,API,Location,Refinery Complexity index,Sulphur Content,Source,Efficiency,Comments,flows,value,unit,direction,type,data location
CA_diesel,30,US,10.8,1.7,GREET,0.9,Conventional Crude as Feedstock in GREET,n2o,2.76E-07,kg/MJ,output,mass,Petroleum tab-A81:BX144
CA_diesel,30,US,10.8,1.7,GREET,0.9,Conventional Crude as Feedstock in GREET,natural gas,0.165342882,MJ/MJ,input,energy,Petroleum tab-A81:BX144
CA_diesel,30,US,10.8,1.7,GREET,0.9,Conventional Crude as Feedstock in GREET,co2,0.012536749,kg/MJ,output,mass,Petroleum tab-A81:BX144
CA_diesel,30,US,10.8,1.7,GREET,0.9,Conventional Crude as Feedstock in GREET,ch4,3.53E-05,kg/MJ,output,mass,Petroleum tab-A81:BX144
CA_diesel,30,US,10.8,1.7,GREET,0.9,Conventional Crude as Feedstock in GREET,pm2.5,9.16E-07,kg/MJ,output,mass,Petroleum tab-A81:BX144
CA_diesel,30,US,10.8,1.7,GREET,0.9,Conventional Crude as Feedstock in GREET,oc,1.80E-07,kg/MJ,output,mass,Petroleum tab-A81:BX144
CA_diesel,30,US,10.8,1.7,GREET,0.9,Conventional Crude as Feedstock in GREET,nox,1.06E-05,kg/MJ,output,mass,Petroleum tab-A81:BX144
CA_diesel,30,US,10.8,1.7,GREET,0.9,Conventional Crude as Feedstock in GREET,bc,1.45E-07,kg/MJ,output,mass,Petroleum tab-A81:BX144
CA_diesel,30,US,10.8,1.7,GREET,0.9,Conventional Crude as Feedstock in GREET,sox,4.19E-06,kg/MJ,output,mass,Petroleum tab-A81:BX144
CA_diesel,16,US,14,1,GREET,0.8,Conventional Crude as Feedstock in GREET,co,8.23E-06,kg/MJ,output,mass,Petroleum tab-A81:BX144
CA_diesel,16,US,14,1,GREET,0.8,Conventional Crude as Feedstock in GREET,petroleum,0.02825152,MJ/MJ,input,energy,Petroleum tab-A81:BX144
CA_diesel,16,US,14,1,GREET,0.8,Conventional Crude as Feedstock in GREET,coal,0.007779311,MJ/MJ,input,energy,Petroleum tab-A81:BX144
CA_diesel,16,US,14,1,GREET,0.8,Conventional Crude as Feedstock in GREET,water consumption,0.021438437,liter/MJ,input,mass,Petroleum tab-A81:BX144
CA_diesel,16,US,14,1,GREET,0.8,Conventional Crude as Feedstock in GREET,crude oil,1.25,MJ/MJ,input,energy,Petroleum tab-A81:BX144
CA_diesel,16,US,14,1,GREET,0.8,Conventional Crude as Feedstock in GREET,sox,4.81E-06,kg/MJ,output,mass,Petroleum tab-A81:BX144
CA_diesel,16,US,14,1,GREET,0.8,Conventional Crude as Feedstock in GREET,pm10,1.11E-06,kg/MJ,output,mass,Petroleum tab-A81:BX144
CA_diesel,16,US,14,1,GREET,0.8,Conventional Crude as Feedstock in GREET,n2o,3.15E-07,kg/MJ,output,mass,Petroleum tab-A81:BX144
CA_diesel,16,US,14,1,GREET,0.8,Conventional Crude as Feedstock in GREET,natural gas,0.196882918,MJ/MJ,input,energy,Petroleum tab-A81:BX144
CA_diesel,16,US,14,1,GREET,0.8,Conventional Crude as Feedstock in GREET,co2,0.013008621,kg/MJ,output,mass,Petroleum tab-A81:BX144
CA_diesel,16,US,14,1,GREET,0.8,Conventional Crude as Feedstock in GREET,ch4,4.20E-05,kg/MJ,output,mass,Petroleum tab-A81:BX144
CA_diesel,16,US,14,1,GREET,0.8,Conventional Crude as Feedstock in GREET,pm2.5,9.44E-07,kg/MJ,output,mass,Petroleum tab-A81:BX144
CA_diesel,16,US,14,1,GREET,0.8,Conventional Crude as Feedstock in GREET,oc,1.87E-07,kg/MJ,output,mass,Petroleum tab-A81:BX144
CA_diesel,16,US,14,1,GREET,0.8,Conventional Crude as Feedstock in GREET,nox,1.18E-05,kg/MJ,output,mass,Petroleum tab-A81:BX144
CA_diesel,16,US,14,1,GREET,0.8,Conventional Crude as Feedstock in GREET,bc,1.51E-07,kg/MJ,output,mass,Petroleum tab-A81:BX144
