Year,State,State abbr,Generation Region,value,Price (original),unit of value,unit of Price,Source,source link,other notes
2011,Michigan,MI,RFC,2.718487395,51.76,$/MMBtu,$/short ton,EIA Coal Power Prices,"https://www.eia.gov/coal/data/browser/#/topic/45?agg=1,0&geo=vvvvvvvvvvvvo&rank=g&linechart=COAL.SHIP_PLANT_PRICE.US-TOT.A&columnchart=COAL.SHIP_PLANT_PRICE.US-TOT.A&map=COAL.SHIP_PLANT_PRICE.US-TOT.A&freq=A&start=2008&end=2019&ctype=linechart&ltype=pin&rtype=s&pin=&rse=0&maptype=183",Conversion factor - 19.04 mmBtu/short ton from EIA https://www.eia.gov/outlooks/aeo/pdf/appg.pdf
2012,Michigan,MI,RFC,2.782563025,52.98,$/MMBtu,$/short ton,EIA Coal Power Prices,"https://www.eia.gov/coal/data/browser/#/topic/45?agg=1,0&geo=vvvvvvvvvvvvo&rank=g&linechart=COAL.SHIP_PLANT_PRICE.US-TOT.A&columnchart=COAL.SHIP_PLANT_PRICE.US-TOT.A&map=COAL.SHIP_PLANT_PRICE.US-TOT.A&freq=A&start=2008&end=2019&ctype=linechart&ltype=pin&rtype=s&pin=&rse=0&maptype=184",Conversion factor - 19.04 mmBtu/short ton from EIA https://www.eia.gov/outlooks/aeo/pdf/appg.pdf
2013,Michigan,MI,RFC,2.62657563,50.01,$/MMBtu,$/short ton,EIA Coal Power Prices,"https://www.eia.gov/coal/data/browser/#/topic/45?agg=1,0&geo=vvvvvvvvvvvvo&rank=g&linechart=COAL.SHIP_PLANT_PRICE.US-TOT.A&columnchart=COAL.SHIP_PLANT_PRICE.US-TOT.A&map=COAL.SHIP_PLANT_PRICE.US-TOT.A&freq=A&start=2008&end=2019&ctype=linechart&ltype=pin&rtype=s&pin=&rse=0&maptype=185",Conversion factor - 19.04 mmBtu/short ton from EIA https://www.eia.gov/outlooks/aeo/pdf/appg.pdf
2014,Michigan,MI,RFC,2.608193277,49.66,$/MMBtu,$/short ton,EIA Coal Power Prices,"https://www.eia.gov/coal/data/browser/#/topic/45?agg=1,0&geo=vvvvvvvvvvvvo&rank=g&linechart=COAL.SHIP_PLANT_PRICE.US-TOT.A&columnchart=COAL.SHIP_PLANT_PRICE.US-TOT.A&map=COAL.SHIP_PLANT_PRICE.US-TOT.A&freq=A&start=2008&end=2019&ctype=linechart&ltype=pin&rtype=s&pin=&rse=0&maptype=186",Conversion factor - 19.04 mmBtu/short ton from EIA https://www.eia.gov/outlooks/aeo/pdf/appg.pdf
2015,Michigan,MI,RFC,2.367121849,45.07,$/MMBtu,$/short ton,EIA Coal Power Prices,"https://www.eia.gov/coal/data/browser/#/topic/45?agg=1,0&geo=vvvvvvvvvvvvo&rank=g&linechart=COAL.SHIP_PLANT_PRICE.US-TOT.A&columnchart=COAL.SHIP_PLANT_PRICE.US-TOT.A&map=COAL.SHIP_PLANT_PRICE.US-TOT.A&freq=A&start=2008&end=2019&ctype=linechart&ltype=pin&rtype=s&pin=&rse=0&maptype=187",Conversion factor - 19.04 mmBtu/short ton from EIA https://www.eia.gov/outlooks/aeo/pdf/appg.pdf
2016,Michigan,MI,RFC,2.224789916,42.36,$/MMBtu,$/short ton,EIA Coal Power Prices,"https://www.eia.gov/coal/data/browser/#/topic/45?agg=1,0&geo=vvvvvvvvvvvvo&rank=g&linechart=COAL.SHIP_PLANT_PRICE.US-TOT.A&columnchart=COAL.SHIP_PLANT_PRICE.US-TOT.A&map=COAL.SHIP_PLANT_PRICE.US-TOT.A&freq=A&start=2008&end=2019&ctype=linechart&ltype=pin&rtype=s&pin=&rse=0&maptype=188",Conversion factor - 19.04 mmBtu/short ton from EIA https://www.eia.gov/outlooks/aeo/pdf/appg.pdf
2017,Michigan,MI,RFC,2.135504202,40.66,$/MMBtu,$/short ton,EIA Coal Power Prices,"https://www.eia.gov/coal/data/browser/#/topic/45?agg=1,0&geo=vvvvvvvvvvvvo&rank=g&linechart=COAL.SHIP_PLANT_PRICE.US-TOT.A&columnchart=COAL.SHIP_PLANT_PRICE.US-TOT.A&map=COAL.SHIP_PLANT_PRICE.US-TOT.A&freq=A&start=2008&end=2019&ctype=linechart&ltype=pin&rtype=s&pin=&rse=0&maptype=189",Conversion factor - 19.04 mmBtu/short ton from EIA https://www.eia.gov/outlooks/aeo/pdf/appg.pdf
2018,Michigan,MI,RFC,2.100840336,40,$/MMBtu,$/short ton,EIA Coal Power Prices,"https://www.eia.gov/coal/data/browser/#/topic/45?agg=1,0&geo=vvvvvvvvvvvvo&rank=g&linechart=COAL.SHIP_PLANT_PRICE.US-TOT.A&columnchart=COAL.SHIP_PLANT_PRICE.US-TOT.A&map=COAL.SHIP_PLANT_PRICE.US-TOT.A&freq=A&start=2008&end=2019&ctype=linechart&ltype=pin&rtype=s&pin=&rse=0&maptype=190",Conversion factor - 19.04 mmBtu/short ton from EIA https://www.eia.gov/outlooks/aeo/pdf/appg.pdf
2019,Michigan,MI,RFC,2.080357143,39.61,$/MMBtu,$/short ton,EIA Coal Power Prices,"https://www.eia.gov/coal/data/browser/#/topic/45?agg=1,0&geo=vvvvvvvvvvvvo&rank=g&linechart=COAL.SHIP_PLANT_PRICE.US-TOT.A&columnchart=COAL.SHIP_PLANT_PRICE.US-TOT.A&map=COAL.SHIP_PLANT_PRICE.US-TOT.A&freq=A&start=2008&end=2019&ctype=linechart&ltype=pin&rtype=s&pin=&rse=0&maptype=191",Conversion factor - 19.04 mmBtu/short ton from EIA https://www.eia.gov/outlooks/aeo/pdf/appg.pdf
2008,Ohio,OH,RFC,2.463235294,46.9,$/MMBtu,$/short ton,EIA Coal Power Prices,"https://www.eia.gov/coal/data/browser/#/topic/45?agg=1,0&geo=vvvvvvvvvvvvo&rank=g&linechart=COAL.SHIP_PLANT_PRICE.US-TOT.A&columnchart=COAL.SHIP_PLANT_PRICE.US-TOT.A&map=COAL.SHIP_PLANT_PRICE.US-TOT.A&freq=A&start=2008&end=2019&ctype=linechart&ltype=pin&rtype=s&pin=&rse=0&maptype=192",Conversion factor - 19.04 mmBtu/short ton from EIA https://www.eia.gov/outlooks/aeo/pdf/appg.pdf
2009,Ohio,OH,RFC,2.954831933,56.26,$/MMBtu,$/short ton,EIA Coal Power Prices,"https://www.eia.gov/coal/data/browser/#/topic/45?agg=1,0&geo=vvvvvvvvvvvvo&rank=g&linechart=COAL.SHIP_PLANT_PRICE.US-TOT.A&columnchart=COAL.SHIP_PLANT_PRICE.US-TOT.A&map=COAL.SHIP_PLANT_PRICE.US-TOT.A&freq=A&start=2008&end=2019&ctype=linechart&ltype=pin&rtype=s&pin=&rse=0&maptype=193",Conversion factor - 19.04 mmBtu/short ton from EIA https://www.eia.gov/outlooks/aeo/pdf/appg.pdf
2010,Ohio,OH,RFC,2.715336134,51.7,$/MMBtu,$/short ton,EIA Coal Power Prices,"https://www.eia.gov/coal/data/browser/#/topic/45?agg=1,0&geo=vvvvvvvvvvvvo&rank=g&linechart=COAL.SHIP_PLANT_PRICE.US-TOT.A&columnchart=COAL.SHIP_PLANT_PRICE.US-TOT.A&map=COAL.SHIP_PLANT_PRICE.US-TOT.A&freq=A&start=2008&end=2019&ctype=linechart&ltype=pin&rtype=s&pin=&rse=0&maptype=194",Conversion factor - 19.04 mmBtu/short ton from EIA https://www.eia.gov/outlooks/aeo/pdf/appg.pdf
2011,Ohio,OH,RFC,3.040441176,57.89,$/MMBtu,$/short ton,EIA Coal Power Prices,"https://www.eia.gov/coal/data/browser/#/topic/45?agg=1,0&geo=vvvvvvvvvvvvo&rank=g&linechart=COAL.SHIP_PLANT_PRICE.US-TOT.A&columnchart=COAL.SHIP_PLANT_PRICE.US-TOT.A&map=COAL.SHIP_PLANT_PRICE.US-TOT.A&freq=A&start=2008&end=2019&ctype=linechart&ltype=pin&rtype=s&pin=&rse=0&maptype=195",Conversion factor - 19.04 mmBtu/short ton from EIA https://www.eia.gov/outlooks/aeo/pdf/appg.pdf
2012,Ohio,OH,RFC,3.12657563,59.53,$/MMBtu,$/short ton,EIA Coal Power Prices,"https://www.eia.gov/coal/data/browser/#/topic/45?agg=1,0&geo=vvvvvvvvvvvvo&rank=g&linechart=COAL.SHIP_PLANT_PRICE.US-TOT.A&columnchart=COAL.SHIP_PLANT_PRICE.US-TOT.A&map=COAL.SHIP_PLANT_PRICE.US-TOT.A&freq=A&start=2008&end=2019&ctype=linechart&ltype=pin&rtype=s&pin=&rse=0&maptype=196",Conversion factor - 19.04 mmBtu/short ton from EIA https://www.eia.gov/outlooks/aeo/pdf/appg.pdf
2013,Ohio,OH,RFC,2.866596639,54.58,$/MMBtu,$/short ton,EIA Coal Power Prices,"https://www.eia.gov/coal/data/browser/#/topic/45?agg=1,0&geo=vvvvvvvvvvvvo&rank=g&linechart=COAL.SHIP_PLANT_PRICE.US-TOT.A&columnchart=COAL.SHIP_PLANT_PRICE.US-TOT.A&map=COAL.SHIP_PLANT_PRICE.US-TOT.A&freq=A&start=2008&end=2019&ctype=linechart&ltype=pin&rtype=s&pin=&rse=0&maptype=197",Conversion factor - 19.04 mmBtu/short ton from EIA https://www.eia.gov/outlooks/aeo/pdf/appg.pdf
2014,Ohio,OH,RFC,2.930672269,55.8,$/MMBtu,$/short ton,EIA Coal Power Prices,"https://www.eia.gov/coal/data/browser/#/topic/45?agg=1,0&geo=vvvvvvvvvvvvo&rank=g&linechart=COAL.SHIP_PLANT_PRICE.US-TOT.A&columnchart=COAL.SHIP_PLANT_PRICE.US-TOT.A&map=COAL.SHIP_PLANT_PRICE.US-TOT.A&freq=A&start=2008&end=2019&ctype=linechart&ltype=pin&rtype=s&pin=&rse=0&maptype=198",Conversion factor - 19.04 mmBtu/short ton from EIA https://www.eia.gov/outlooks/aeo/pdf/appg.pdf
2015,Ohio,OH,RFC,2.81144958,53.53,$/MMBtu,$/short ton,EIA Coal Power Prices,"https://www.eia.gov/coal/data/browser/#/topic/45?agg=1,0&geo=vvvvvvvvvvvvo&rank=g&linechart=COAL.SHIP_PLANT_PRICE.US-TOT.A&columnchart=COAL.SHIP_PLANT_PRICE.US-TOT.A&map=COAL.SHIP_PLANT_PRICE.US-TOT.A&freq=A&start=2008&end=2019&ctype=linechart&ltype=pin&rtype=s&pin=&rse=0&maptype=199",Conversion factor - 19.04 mmBtu/short ton from EIA https://www.eia.gov/outlooks/aeo/pdf/appg.pdf
2016,Ohio,OH,RFC,2.654936975,50.55,$/MMBtu,$/short ton,EIA Coal Power Prices,"https://www.eia.gov/coal/data/browser/#/topic/45?agg=1,0&geo=vvvvvvvvvvvvo&rank=g&linechart=COAL.SHIP_PLANT_PRICE.US-TOT.A&columnchart=COAL.SHIP_PLANT_PRICE.US-TOT.A&map=COAL.SHIP_PLANT_PRICE.US-TOT.A&freq=A&start=2008&end=2019&ctype=linechart&ltype=pin&rtype=s&pin=&rse=0&maptype=200",Conversion factor - 19.04 mmBtu/short ton from EIA https://www.eia.gov/outlooks/aeo/pdf/appg.pdf
2017,Ohio,OH,RFC,2.481092437,47.24,$/MMBtu,$/short ton,EIA Coal Power Prices,"https://www.eia.gov/coal/data/browser/#/topic/45?agg=1,0&geo=vvvvvvvvvvvvo&rank=g&linechart=COAL.SHIP_PLANT_PRICE.US-TOT.A&columnchart=COAL.SHIP_PLANT_PRICE.US-TOT.A&map=COAL.SHIP_PLANT_PRICE.US-TOT.A&freq=A&start=2008&end=2019&ctype=linechart&ltype=pin&rtype=s&pin=&rse=0&maptype=201",Conversion factor - 19.04 mmBtu/short ton from EIA https://www.eia.gov/outlooks/aeo/pdf/appg.pdf
2018,Ohio,OH,RFC,2.370798319,45.14,$/MMBtu,$/short ton,EIA Coal Power Prices,"https://www.eia.gov/coal/data/browser/#/topic/45?agg=1,0&geo=vvvvvvvvvvvvo&rank=g&linechart=COAL.SHIP_PLANT_PRICE.US-TOT.A&columnchart=COAL.SHIP_PLANT_PRICE.US-TOT.A&map=COAL.SHIP_PLANT_PRICE.US-TOT.A&freq=A&start=2008&end=2019&ctype=linechart&ltype=pin&rtype=s&pin=&rse=0&maptype=202",Conversion factor - 19.04 mmBtu/short ton from EIA https://www.eia.gov/outlooks/aeo/pdf/appg.pdf
2019,Ohio,OH,RFC,2.345063025,44.65,$/MMBtu,$/short ton,EIA Coal Power Prices,"https://www.eia.gov/coal/data/browser/#/topic/45?agg=1,0&geo=vvvvvvvvvvvvo&rank=g&linechart=COAL.SHIP_PLANT_PRICE.US-TOT.A&columnchart=COAL.SHIP_PLANT_PRICE.US-TOT.A&map=COAL.SHIP_PLANT_PRICE.US-TOT.A&freq=A&start=2008&end=2019&ctype=linechart&ltype=pin&rtype=s&pin=&rse=0&maptype=203",Conversion factor - 19.04 mmBtu/short ton from EIA https://www.eia.gov/outlooks/aeo/pdf/appg.pdf
2008,Wisconsin,WI,MRO,1.81460084,34.55,$/MMBtu,$/short ton,EIA Coal Power Prices,"https://www.eia.gov/coal/data/browser/#/topic/45?agg=1,0&geo=vvvvvvvvvvvvo&rank=g&linechart=COAL.SHIP_PLANT_PRICE.US-TOT.A&columnchart=COAL.SHIP_PLANT_PRICE.US-TOT.A&map=COAL.SHIP_PLANT_PRICE.US-TOT.A&freq=A&start=2008&end=2019&ctype=linechart&ltype=pin&rtype=s&pin=&rse=0&maptype=204",Conversion factor - 19.04 mmBtu/short ton from EIA https://www.eia.gov/outlooks/aeo/pdf/appg.pdf
2009,Wisconsin,WI,MRO,1.836659664,34.97,$/MMBtu,$/short ton,EIA Coal Power Prices,"https://www.eia.gov/coal/data/browser/#/topic/45?agg=1,0&geo=vvvvvvvvvvvvo&rank=g&linechart=COAL.SHIP_PLANT_PRICE.US-TOT.A&columnchart=COAL.SHIP_PLANT_PRICE.US-TOT.A&map=COAL.SHIP_PLANT_PRICE.US-TOT.A&freq=A&start=2008&end=2019&ctype=linechart&ltype=pin&rtype=s&pin=&rse=0&maptype=205",Conversion factor - 19.04 mmBtu/short ton from EIA https://www.eia.gov/outlooks/aeo/pdf/appg.pdf
2010,Wisconsin,WI,MRO,1.958508403,37.29,$/MMBtu,$/short ton,EIA Coal Power Prices,"https://www.eia.gov/coal/data/browser/#/topic/45?agg=1,0&geo=vvvvvvvvvvvvo&rank=g&linechart=COAL.SHIP_PLANT_PRICE.US-TOT.A&columnchart=COAL.SHIP_PLANT_PRICE.US-TOT.A&map=COAL.SHIP_PLANT_PRICE.US-TOT.A&freq=A&start=2008&end=2019&ctype=linechart&ltype=pin&rtype=s&pin=&rse=0&maptype=206",Conversion factor - 19.04 mmBtu/short ton from EIA https://www.eia.gov/outlooks/aeo/pdf/appg.pdf
2011,Wisconsin,WI,MRO,2.387079832,45.45,$/MMBtu,$/short ton,EIA Coal Power Prices,"https://www.eia.gov/coal/data/browser/#/topic/45?agg=1,0&geo=vvvvvvvvvvvvo&rank=g&linechart=COAL.SHIP_PLANT_PRICE.US-TOT.A&columnchart=COAL.SHIP_PLANT_PRICE.US-TOT.A&map=COAL.SHIP_PLANT_PRICE.US-TOT.A&freq=A&start=2008&end=2019&ctype=linechart&ltype=pin&rtype=s&pin=&rse=0&maptype=207",Conversion factor - 19.04 mmBtu/short ton from EIA https://www.eia.gov/outlooks/aeo/pdf/appg.pdf
2012,Wisconsin,WI,MRO,2.216386555,42.2,$/MMBtu,$/short ton,EIA Coal Power Prices,"https://www.eia.gov/coal/data/browser/#/topic/45?agg=1,0&geo=vvvvvvvvvvvvo&rank=g&linechart=COAL.SHIP_PLANT_PRICE.US-TOT.A&columnchart=COAL.SHIP_PLANT_PRICE.US-TOT.A&map=COAL.SHIP_PLANT_PRICE.US-TOT.A&freq=A&start=2008&end=2019&ctype=linechart&ltype=pin&rtype=s&pin=&rse=0&maptype=208",Conversion factor - 19.04 mmBtu/short ton from EIA https://www.eia.gov/outlooks/aeo/pdf/appg.pdf
2013,Wisconsin,WI,MRO,2.18907563,41.68,$/MMBtu,$/short ton,EIA Coal Power Prices,"https://www.eia.gov/coal/data/browser/#/topic/45?agg=1,0&geo=vvvvvvvvvvvvo&rank=g&linechart=COAL.SHIP_PLANT_PRICE.US-TOT.A&columnchart=COAL.SHIP_PLANT_PRICE.US-TOT.A&map=COAL.SHIP_PLANT_PRICE.US-TOT.A&freq=A&start=2008&end=2019&ctype=linechart&ltype=pin&rtype=s&pin=&rse=0&maptype=209",Conversion factor - 19.04 mmBtu/short ton from EIA https://www.eia.gov/outlooks/aeo/pdf/appg.pdf
2014,Wisconsin,WI,MRO,2.204306723,41.97,$/MMBtu,$/short ton,EIA Coal Power Prices,"https://www.eia.gov/coal/data/browser/#/topic/45?agg=1,0&geo=vvvvvvvvvvvvo&rank=g&linechart=COAL.SHIP_PLANT_PRICE.US-TOT.A&columnchart=COAL.SHIP_PLANT_PRICE.US-TOT.A&map=COAL.SHIP_PLANT_PRICE.US-TOT.A&freq=A&start=2008&end=2019&ctype=linechart&ltype=pin&rtype=s&pin=&rse=0&maptype=210",Conversion factor - 19.04 mmBtu/short ton from EIA https://www.eia.gov/outlooks/aeo/pdf/appg.pdf
2015,Wisconsin,WI,MRO,2.115021008,40.27,$/MMBtu,$/short ton,EIA Coal Power Prices,"https://www.eia.gov/coal/data/browser/#/topic/45?agg=1,0&geo=vvvvvvvvvvvvo&rank=g&linechart=COAL.SHIP_PLANT_PRICE.US-TOT.A&columnchart=COAL.SHIP_PLANT_PRICE.US-TOT.A&map=COAL.SHIP_PLANT_PRICE.US-TOT.A&freq=A&start=2008&end=2019&ctype=linechart&ltype=pin&rtype=s&pin=&rse=0&maptype=211",Conversion factor - 19.04 mmBtu/short ton from EIA https://www.eia.gov/outlooks/aeo/pdf/appg.pdf
2016,Wisconsin,WI,MRO,2.078781513,39.58,$/MMBtu,$/short ton,EIA Coal Power Prices,"https://www.eia.gov/coal/data/browser/#/topic/45?agg=1,0&geo=vvvvvvvvvvvvo&rank=g&linechart=COAL.SHIP_PLANT_PRICE.US-TOT.A&columnchart=COAL.SHIP_PLANT_PRICE.US-TOT.A&map=COAL.SHIP_PLANT_PRICE.US-TOT.A&freq=A&start=2008&end=2019&ctype=linechart&ltype=pin&rtype=s&pin=&rse=0&maptype=212",Conversion factor - 19.04 mmBtu/short ton from EIA https://www.eia.gov/outlooks/aeo/pdf/appg.pdf
2017,Wisconsin,WI,MRO,2.074579832,39.5,$/MMBtu,$/short ton,EIA Coal Power Prices,"https://www.eia.gov/coal/data/browser/#/topic/45?agg=1,0&geo=vvvvvvvvvvvvo&rank=g&linechart=COAL.SHIP_PLANT_PRICE.US-TOT.A&columnchart=COAL.SHIP_PLANT_PRICE.US-TOT.A&map=COAL.SHIP_PLANT_PRICE.US-TOT.A&freq=A&start=2008&end=2019&ctype=linechart&ltype=pin&rtype=s&pin=&rse=0&maptype=213",Conversion factor - 19.04 mmBtu/short ton from EIA https://www.eia.gov/outlooks/aeo/pdf/appg.pdf
2018,Wisconsin,WI,MRO,2.12394958,40.44,$/MMBtu,$/short ton,EIA Coal Power Prices,"https://www.eia.gov/coal/data/browser/#/topic/45?agg=1,0&geo=vvvvvvvvvvvvo&rank=g&linechart=COAL.SHIP_PLANT_PRICE.US-TOT.A&columnchart=COAL.SHIP_PLANT_PRICE.US-TOT.A&map=COAL.SHIP_PLANT_PRICE.US-TOT.A&freq=A&start=2008&end=2019&ctype=linechart&ltype=pin&rtype=s&pin=&rse=0&maptype=214",Conversion factor - 19.04 mmBtu/short ton from EIA https://www.eia.gov/outlooks/aeo/pdf/appg.pdf
2019,Wisconsin,WI,MRO,2.099789916,39.98,$/MMBtu,$/short ton,EIA Coal Power Prices,"https://www.eia.gov/coal/data/browser/#/topic/45?agg=1,0&geo=vvvvvvvvvvvvo&rank=g&linechart=COAL.SHIP_PLANT_PRICE.US-TOT.A&columnchart=COAL.SHIP_PLANT_PRICE.US-TOT.A&map=COAL.SHIP_PLANT_PRICE.US-TOT.A&freq=A&start=2008&end=2019&ctype=linechart&ltype=pin&rtype=s&pin=&rse=0&maptype=215",Conversion factor - 19.04 mmBtu/short ton from EIA https://www.eia.gov/outlooks/aeo/pdf/appg.pdf
2008,West North Central,Region,Region,1.177521008,22.42,$/MMBtu,$/short ton,EIA Coal Power Prices,"https://www.eia.gov/coal/data/browser/#/topic/45?agg=1,0&geo=vvvvvvvvvvvvo&rank=g&linechart=COAL.SHIP_PLANT_PRICE.US-TOT.A&columnchart=COAL.SHIP_PLANT_PRICE.US-TOT.A&map=COAL.SHIP_PLANT_PRICE.US-TOT.A&freq=A&start=2008&end=2019&ctype=linechart&ltype=pin&rtype=s&pin=&rse=0&maptype=216",Conversion factor - 19.04 mmBtu/short ton from EIA https://www.eia.gov/outlooks/aeo/pdf/appg.pdf
2009,West North Central,Region,Region,1.228466387,23.39,$/MMBtu,$/short ton,EIA Coal Power Prices,"https://www.eia.gov/coal/data/browser/#/topic/45?agg=1,0&geo=vvvvvvvvvvvvo&rank=g&linechart=COAL.SHIP_PLANT_PRICE.US-TOT.A&columnchart=COAL.SHIP_PLANT_PRICE.US-TOT.A&map=COAL.SHIP_PLANT_PRICE.US-TOT.A&freq=A&start=2008&end=2019&ctype=linechart&ltype=pin&rtype=s&pin=&rse=0&maptype=217",Conversion factor - 19.04 mmBtu/short ton from EIA https://www.eia.gov/outlooks/aeo/pdf/appg.pdf
2010,West North Central,Region,Region,1.306197479,24.87,$/MMBtu,$/short ton,EIA Coal Power Prices,"https://www.eia.gov/coal/data/browser/#/topic/45?agg=1,0&geo=vvvvvvvvvvvvo&rank=g&linechart=COAL.SHIP_PLANT_PRICE.US-TOT.A&columnchart=COAL.SHIP_PLANT_PRICE.US-TOT.A&map=COAL.SHIP_PLANT_PRICE.US-TOT.A&freq=A&start=2008&end=2019&ctype=linechart&ltype=pin&rtype=s&pin=&rse=0&maptype=218",Conversion factor - 19.04 mmBtu/short ton from EIA https://www.eia.gov/outlooks/aeo/pdf/appg.pdf
2011,West North Central,Region,Region,1.43539916,27.33,$/MMBtu,$/short ton,EIA Coal Power Prices,"https://www.eia.gov/coal/data/browser/#/topic/45?agg=1,0&geo=vvvvvvvvvvvvo&rank=g&linechart=COAL.SHIP_PLANT_PRICE.US-TOT.A&columnchart=COAL.SHIP_PLANT_PRICE.US-TOT.A&map=COAL.SHIP_PLANT_PRICE.US-TOT.A&freq=A&start=2008&end=2019&ctype=linechart&ltype=pin&rtype=s&pin=&rse=0&maptype=219",Conversion factor - 19.04 mmBtu/short ton from EIA https://www.eia.gov/outlooks/aeo/pdf/appg.pdf
2012,West North Central,Region,Region,1.509978992,28.75,$/MMBtu,$/short ton,EIA Coal Power Prices,"https://www.eia.gov/coal/data/browser/#/topic/45?agg=1,0&geo=vvvvvvvvvvvvo&rank=g&linechart=COAL.SHIP_PLANT_PRICE.US-TOT.A&columnchart=COAL.SHIP_PLANT_PRICE.US-TOT.A&map=COAL.SHIP_PLANT_PRICE.US-TOT.A&freq=A&start=2008&end=2019&ctype=linechart&ltype=pin&rtype=s&pin=&rse=0&maptype=220",Conversion factor - 19.04 mmBtu/short ton from EIA https://www.eia.gov/outlooks/aeo/pdf/appg.pdf
2013,West North Central,Region,Region,1.538865546,29.3,$/MMBtu,$/short ton,EIA Coal Power Prices,"https://www.eia.gov/coal/data/browser/#/topic/45?agg=1,0&geo=vvvvvvvvvvvvo&rank=g&linechart=COAL.SHIP_PLANT_PRICE.US-TOT.A&columnchart=COAL.SHIP_PLANT_PRICE.US-TOT.A&map=COAL.SHIP_PLANT_PRICE.US-TOT.A&freq=A&start=2008&end=2019&ctype=linechart&ltype=pin&rtype=s&pin=&rse=0&maptype=221",Conversion factor - 19.04 mmBtu/short ton from EIA https://www.eia.gov/outlooks/aeo/pdf/appg.pdf
2014,West North Central,Region,Region,1.56197479,29.74,$/MMBtu,$/short ton,EIA Coal Power Prices,"https://www.eia.gov/coal/data/browser/#/topic/45?agg=1,0&geo=vvvvvvvvvvvvo&rank=g&linechart=COAL.SHIP_PLANT_PRICE.US-TOT.A&columnchart=COAL.SHIP_PLANT_PRICE.US-TOT.A&map=COAL.SHIP_PLANT_PRICE.US-TOT.A&freq=A&start=2008&end=2019&ctype=linechart&ltype=pin&rtype=s&pin=&rse=0&maptype=222",Conversion factor - 19.04 mmBtu/short ton from EIA https://www.eia.gov/outlooks/aeo/pdf/appg.pdf
2015,West North Central,Region,Region,1.508403361,28.72,$/MMBtu,$/short ton,EIA Coal Power Prices,"https://www.eia.gov/coal/data/browser/#/topic/45?agg=1,0&geo=vvvvvvvvvvvvo&rank=g&linechart=COAL.SHIP_PLANT_PRICE.US-TOT.A&columnchart=COAL.SHIP_PLANT_PRICE.US-TOT.A&map=COAL.SHIP_PLANT_PRICE.US-TOT.A&freq=A&start=2008&end=2019&ctype=linechart&ltype=pin&rtype=s&pin=&rse=0&maptype=223",Conversion factor - 19.04 mmBtu/short ton from EIA https://www.eia.gov/outlooks/aeo/pdf/appg.pdf
2016,West North Central,Region,Region,1.49894958,28.54,$/MMBtu,$/short ton,EIA Coal Power Prices,"https://www.eia.gov/coal/data/browser/#/topic/45?agg=1,0&geo=vvvvvvvvvvvvo&rank=g&linechart=COAL.SHIP_PLANT_PRICE.US-TOT.A&columnchart=COAL.SHIP_PLANT_PRICE.US-TOT.A&map=COAL.SHIP_PLANT_PRICE.US-TOT.A&freq=A&start=2008&end=2019&ctype=linechart&ltype=pin&rtype=s&pin=&rse=0&maptype=224",Conversion factor - 19.04 mmBtu/short ton from EIA https://www.eia.gov/outlooks/aeo/pdf/appg.pdf
2017,West North Central,Region,Region,1.523109244,29,$/MMBtu,$/short ton,EIA Coal Power Prices,"https://www.eia.gov/coal/data/browser/#/topic/45?agg=1,0&geo=vvvvvvvvvvvvo&rank=g&linechart=COAL.SHIP_PLANT_PRICE.US-TOT.A&columnchart=COAL.SHIP_PLANT_PRICE.US-TOT.A&map=COAL.SHIP_PLANT_PRICE.US-TOT.A&freq=A&start=2008&end=2019&ctype=linechart&ltype=pin&rtype=s&pin=&rse=0&maptype=225",Conversion factor - 19.04 mmBtu/short ton from EIA https://www.eia.gov/outlooks/aeo/pdf/appg.pdf
2018,West North Central,Region,Region,1.483718487,28.25,$/MMBtu,$/short ton,EIA Coal Power Prices,"https://www.eia.gov/coal/data/browser/#/topic/45?agg=1,0&geo=vvvvvvvvvvvvo&rank=g&linechart=COAL.SHIP_PLANT_PRICE.US-TOT.A&columnchart=COAL.SHIP_PLANT_PRICE.US-TOT.A&map=COAL.SHIP_PLANT_PRICE.US-TOT.A&freq=A&start=2008&end=2019&ctype=linechart&ltype=pin&rtype=s&pin=&rse=0&maptype=226",Conversion factor - 19.04 mmBtu/short ton from EIA https://www.eia.gov/outlooks/aeo/pdf/appg.pdf
2019,West North Central,Region,Region,1.412289916,26.89,$/MMBtu,$/short ton,EIA Coal Power Prices,"https://www.eia.gov/coal/data/browser/#/topic/45?agg=1,0&geo=vvvvvvvvvvvvo&rank=g&linechart=COAL.SHIP_PLANT_PRICE.US-TOT.A&columnchart=COAL.SHIP_PLANT_PRICE.US-TOT.A&map=COAL.SHIP_PLANT_PRICE.US-TOT.A&freq=A&start=2008&end=2019&ctype=linechart&ltype=pin&rtype=s&pin=&rse=0&maptype=227",Conversion factor - 19.04 mmBtu/short ton from EIA https://www.eia.gov/outlooks/aeo/pdf/appg.pdf
