Date,Balancing Authority,Demand (MW),Net Generation (MW),Total Interchange (MW)
2/28/19,MISO,1858085,1752541,-128279
2/28/19,NYIS,453558,369512,-84046
2/28/19,SWPP,0,0,0
3/1/19,CISO,457833,443652,-69084
3/1/19,ERCO,993784,1002230,8429
3/1/19,FPL,310075,315591,5516
3/1/19,MISO,1803649,1696643,-129647
3/1/19,NYIS,444787,366299,-78488
3/1/19,SWPP,777889,770779,-7112
3/2/19,CISO,448279,402333,-89798
3/2/19,ERCO,932706,937936,5209
3/2/19,FPL,317036,321070,4034
3/2/19,MISO,1697911,1603411,-113528
3/2/19,NYIS,413601,343496,-70105
3/2/19,SWPP,759809,758860,-946
3/3/19,CISO,426766,401225,-65813
3/3/19,ERCO,1019462,1018364,-1110
3/3/19,FPL,325279,327652,2373
3/3/19,MISO,1758811,1668202,-114767
3/3/19,NYIS,400924,324699,-76225
3/3/19,SWPP,833285,842198,8914
3/4/19,CISO,465791,447265,-75038
3/4/19,ERCO,1291075,1295960,4869
3/4/19,FPL,344213,346423,2210
3/4/19,MISO,2065885,1970226,-128792
3/4/19,NYIS,440819,353142,-87677
3/4/19,SWPP,903980,872099,-31883
3/5/19,CISO,475248,439972,-105760
3/5/19,ERCO,1220671,1216045,-4646
3/5/19,FPL,312661,321398,8737
3/5/19,MISO,2067881,1987553,-115727
3/5/19,NYIS,456776,365622,-91154
3/5/19,SWPP,852190,839123,-13063
3/6/19,CISO,485258,419833,-124596
3/6/19,ERCO,1089632,1097478,7836
3/6/19,FPL,280199,297950,17751
3/6/19,MISO,1983042,1906024,-108123
3/6/19,NYIS,470853,386094,-84759
3/6/19,SWPP,805528,816109,10576
3/7/19,CISO,471832,394428,-139371
3/7/19,ERCO,912226,916620,4376
3/7/19,FPL,282852,298820,15968
3/7/19,MISO,1894465,1812001,-109704
3/7/19,NYIS,470917,382028,-88889
3/7/19,SWPP,750222,757663,7445
3/8/19,CISO,473154,437974,-86443
3/8/19,ERCO,870092,874797,4695
3/8/19,FPL,283927,300054,16127
3/8/19,MISO,1767813,1684907,-103504
3/8/19,NYIS,450122,357304,-92818
3/8/19,SWPP,705321,710657,5335
3/9/19,CISO,451815,402091,-103111
3/9/19,ERCO,855479,853805,-1694
3/9/19,FPL,298292,305143,6851
3/9/19,MISO,1637220,1566356,-97143
3/9/19,NYIS,403772,331838,-71934
3/9/19,SWPP,659332,687694,28358
3/10/19,CISO,36620,29658,-9422
3/10/19,ERCO,804394,805522,1117
3/10/19,FPL,298937,297007,-2163
3/10/19,MISO,1600055,1532380,-95668
3/10/19,NYIS,392016,329555,-62461
3/10/19,SWPP,640224,649515,9288
3/11/19,CISO,488990,432270,-104814
3/11/19,ERCO,889275,881467,-7827
3/11/19,FPL,343777,343315,-462
3/11/19,MISO,1728039,1636325,-121357
3/11/19,NYIS,419295,345576,-73719
3/11/19,SWPP,689531,694841,5309
3/12/19,CISO,469940,405890,-114313
3/12/19,ERCO,876971,877098,138
3/12/19,FPL,330509,334129,3620
3/12/19,MISO,1717461,1640232,-106595
3/12/19,NYIS,426132,347182,-78950
3/12/19,SWPP,680184,692010,11824
3/13/19,CISO,456013,406302,-94270
3/13/19,ERCO,866539,866731,179
3/13/19,FPL,321644,330318,8674
3/13/19,MISO,1675645,1603467,-102539
3/13/19,NYIS,424655,352527,-72128
3/13/19,SWPP,653397,673411,20011
3/14/19,CISO,466155,425802,-85864
3/14/19,ERCO,847079,848738,1647
3/14/19,FPL,322926,328976,6050
3/14/19,MISO,1659448,1580061,-113516
3/14/19,NYIS,403167,328213,-74954
3/14/19,SWPP,682326,695690,13364
3/15/19,CISO,453518,394040,-99574
3/15/19,ERCO,858517,858854,322
3/15/19,FPL,324985,330402,5417
3/15/19,MISO,1682122,1570166,-146400
3/15/19,NYIS,394628,315703,-78925
3/15/19,SWPP,686662,680146,-6516
3/16/19,CISO,435942,366499,-98965
3/16/19,ERCO,850793,845898,-4902
3/16/19,FPL,307963,318093,10130
3/16/19,MISO,1596404,1479895,-141437
3/16/19,NYIS,379843,283070,-96773
3/16/19,SWPP,647429,649608,2177
3/17/19,CISO,429493,350357,-99028
3/17/19,ERCO,826879,819970,-6919
3/17/19,FPL,301313,309405,8092
3/17/19,MISO,1563360,1470390,-113944
3/17/19,NYIS,385942,275713,-110229
3/17/19,SWPP,618074,624621,6546
3/18/19,CISO,471969,380928,-125887
3/18/19,ERCO,866145,856423,-9727
3/18/19,FPL,290729,303583,12854
3/18/19,MISO,1700449,1623582,-102054
3/18/19,NYIS,419589,299244,-120345
3/18/19,SWPP,649471,661647,12178
3/19/19,CISO,468078,364968,-148962
3/19/19,ERCO,847087,843005,-4107
3/19/19,FPL,271731,285098,13367
3/19/19,MISO,1685530,1631109,-79742
3/19/19,NYIS,415063,309048,-106015
3/19/19,SWPP,652759,670114,17408
3/20/19,CISO,479824,367479,-149711
3/20/19,ERCO,841277,836845,-4440
3/20/19,FPL,271312,285477,14165
3/20/19,MISO,1683497,1644640,-68308
3/20/19,NYIS,405318,295658,-109660
3/20/19,SWPP,644253,647497,3243
3/21/19,CISO,482167,383676,-126954
3/21/19,ERCO,846348,842539,-3815
3/21/19,FPL,275099,289397,14298
3/21/19,MISO,1665160,1621245,-70506
3/21/19,NYIS,412089,300989,-111100
3/21/19,SWPP,644432,636821,-7617
3/22/19,CISO,477846,397057,-114735
3/22/19,ERCO,836978,837538,548
3/22/19,FPL,263265,273645,10380
3/22/19,MISO,1636853,1572518,-89440
3/22/19,NYIS,415350,297466,-117884
3/22/19,SWPP,633310,640771,7462
3/23/19,CISO,439943,353886,-107992
3/23/19,ERCO,789215,792934,3706
3/23/19,FPL,262551,272025,9474
3/23/19,MISO,1518778,1443729,-94361
3/23/19,NYIS,393653,289465,-104188
3/23/19,SWPP,599996,605587,5591
3/24/19,CISO,431473,348980,-88823
3/24/19,ERCO,821097,814897,-6213
3/24/19,FPL,275771,285794,10023
3/24/19,MISO,1480887,1410071,-89332
3/24/19,NYIS,374385,271542,-102843
3/24/19,SWPP,586665,593466,6804
3/25/19,CISO,496319,402792,-110963
3/25/19,ERCO,884259,882149,-2115
3/25/19,FPL,310278,322008,11730
3/25/19,MISO,1638770,1537607,-121722
3/25/19,NYIS,398399,284607,-113792
3/25/19,SWPP,635209,630907,-4303
3/26/19,CISO,490512,376221,-130722
3/26/19,ERCO,847064,848361,1294
3/26/19,FPL,313230,322815,9585
3/26/19,MISO,1651174,1553022,-121804
3/26/19,NYIS,407183,292052,-115131
3/26/19,SWPP,638979,642771,3787
3/27/19,CISO,513047,380557,-136332
3/27/19,ERCO,848448,845536,-2909
3/27/19,FPL,284130,293456,9326
3/27/19,MISO,1632664,1547799,-116887
3/27/19,NYIS,407059,287088,-119971
3/27/19,SWPP,639006,656449,17454
3/28/19,CISO,517214,400200,-109392
3/28/19,ERCO,851199,850279,-924
3/28/19,FPL,277494,288316,10822
3/28/19,MISO,1598603,1496425,-130220
3/28/19,NYIS,404631,295169,-109462
3/28/19,SWPP,640352,650829,10479
3/29/19,CISO,513825,386571,-111889
3/29/19,ERCO,856499,857649,1132
3/29/19,FPL,275315,283940,8625
3/29/19,MISO,1572515,1433759,-159676
3/29/19,NYIS,395234,280902,-114332
3/29/19,SWPP,583828,589036,4753
3/30/19,CISO,497158,353171,-104664
3/30/19,ERCO,816362,814269,-2105
3/30/19,FPL,286065,291607,5542
3/30/19,MISO,1526346,1444782,-107334
3/30/19,NYIS,356906,263422,-93484
3/30/19,SWPP,583824,589032,4752
3/31/19,CISO,455038,353177,-99408
3/31/19,ERCO,848988,847488,-1513
3/31/19,FPL,305397,310664,5267
3/31/19,MISO,1573331,1463333,-127908
3/31/19,NYIS,363898,267609,-96289
3/31/19,SWPP,583824,589032,4752
4/1/19,CISO,544888,364839,-159170
4/1/19,ERCO,911443,908871,-2592
4/1/19,FPL,318500,321009,2509
4/1/19,MISO,1704673,1618121,-110599
4/1/19,NYIS,404557,290932,-113625
4/1/19,SWPP,663120,677232,14328
4/2/19,CISO,541656,374309,-147169
4/2/19,ERCO,888369,890428,1697
4/2/19,FPL,317776,326541,8765
4/2/19,MISO,1665845,1583416,-106447
4/2/19,NYIS,401551,300341,-101210
4/2/19,SWPP,659940,662116,2201
4/3/19,CISO,544849,377779,-144708
4/3/19,ERCO,845936,848826,2865
4/3/19,FPL,311327,320411,9084
4/3/19,MISO,1621509,1519773,-122897
4/3/19,NYIS,389110,298281,-90829
4/3/19,SWPP,645031,654411,9381
4/4/19,CISO,529079,382414,-143210
4/4/19,ERCO,898052,902812,4732
4/4/19,FPL,307018,313153,6135
4/4/19,MISO,1632941,1545911,-112502
4/4/19,NYIS,389377,298681,-90696
4/4/19,SWPP,634653,623200,-11450
4/5/19,CISO,515089,402353,-115840
4/5/19,ERCO,896840,899977,3112
4/5/19,FPL,329925,336553,6628
4/5/19,MISO,1594120,1500464,-114871
4/5/19,NYIS,407645,312813,-94832
4/5/19,SWPP,632683,647870,15205
4/6/19,CISO,481814,368748,-93028
4/6/19,ERCO,855481,851034,-4461
4/6/19,FPL,337999,347103,9104
4/6/19,MISO,1477073,1426801,-69436
4/6/19,NYIS,358681,281907,-76774
4/6/19,SWPP,651624,681456,29880
4/7/19,CISO,469170,343890,-109169
4/7/19,ERCO,811797,810593,-1209
4/7/19,FPL,346163,356923,10760
4/7/19,MISO,1450009,1357919,-109412
4/7/19,NYIS,342894,263098,-79796
4/7/19,SWPP,651624,681456,29880
4/8/19,CISO,535062,389931,-145641
4/8/19,ERCO,893260,895322,2032
4/8/19,FPL,365161,372795,7634
4/8/19,MISO,1576889,1525884,-75392
4/8/19,NYIS,380201,315322,-64879
4/8/19,SWPP,636295,625790,-10507
4/9/19,CISO,513902,400623,-106086
4/9/19,ERCO,951960,951025,-959
4/9/19,FPL,327222,332561,5339
4/9/19,MISO,1586982,1512643,-99302
4/9/19,NYIS,382374,324234,-58140
4/9/19,SWPP,654425,662464,8039
4/10/19,CISO,504521,400425,-106186
4/10/19,ERCO,987290,980877,-6424
4/10/19,FPL,328317,334573,6256
4/10/19,MISO,1641967,1562186,-109919
4/10/19,NYIS,383628,309488,-74140
4/10/19,SWPP,674934,696152,21215
4/11/19,CISO,517739,394532,-126011
4/11/19,ERCO,899578,894945,-4648
4/11/19,FPL,342004,348725,6721
4/11/19,MISO,1660692,1552782,-135857
4/11/19,NYIS,394846,320353,-74493
4/11/19,SWPP,649966,653883,3915
4/12/19,CISO,487568,410913,-94295
4/12/19,ERCO,854762,860245,5461
4/12/19,FPL,364177,367719,3542
4/12/19,MISO,1591981,1492456,-124769
4/12/19,NYIS,383076,322225,-60851
4/12/19,SWPP,651278,631620,-19660
4/13/19,CISO,439877,381525,-83393
4/13/19,ERCO,852013,852827,803
4/13/19,FPL,371981,373792,1811
4/13/19,MISO,1503936,1368470,-154437
4/13/19,NYIS,345097,311226,-33871
4/13/19,SWPP,625523,630752,5231
4/14/19,CISO,462324,368727,-73912
4/14/19,ERCO,803857,800853,-3016
4/14/19,FPL,376667,376435,-232
4/14/19,MISO,1498713,1350560,-169098
4/14/19,NYIS,348911,294208,-54703
4/14/19,SWPP,608289,619313,11022
4/15/19,CISO,524426,411830,-99374
4/15/19,ERCO,871067,871952,870
4/15/19,FPL,363541,367852,4311
4/15/19,MISO,1622632,1489414,-160254
4/15/19,NYIS,384732,324625,-60107
4/15/19,SWPP,644180,656393,12217
4/16/19,CISO,512868,394559,-126965
4/16/19,ERCO,899472,902502,3012
4/16/19,FPL,333735,340340,6605
4/16/19,MISO,1598674,1472021,-151555
4/16/19,NYIS,378545,326337,-52208
4/16/19,SWPP,645579,651841,6261
4/17/19,CISO,543875,386514,-137006
4/17/19,ERCO,943897,944775,633
4/17/19,FPL,335415,343625,8210
4/17/19,MISO,1609117,1470341,-166088
4/17/19,NYIS,353112,319516,-33596
4/17/19,SWPP,653510,655432,1922
4/18/19,CISO,572887,397462,-153602
4/18/19,ERCO,867274,869533,2250
4/18/19,FPL,365903,370291,4388
4/18/19,MISO,1593432,1474247,-141713
4/18/19,NYIS,377087,315166,-61921
4/18/19,SWPP,630276,634476,4201
4/19/19,CISO,569534,396295,-140750
4/19/19,ERCO,804522,803185,-1344
4/19/19,FPL,356129,363730,7601
4/19/19,MISO,1524762,1383540,-161049
4/19/19,NYIS,366325,295121,-71204
4/19/19,SWPP,617902,614170,-3734
4/20/19,CISO,511032,401183,-75797
4/20/19,ERCO,814713,812450,-2273
4/20/19,FPL,283811,291848,8037
4/20/19,MISO,1455874,1295406,-178292
4/20/19,NYIS,347640,288335,-59305
4/20/19,SWPP,597497,610492,12992
4/21/19,CISO,466778,373352,-68601
4/21/19,ERCO,837263,831956,-5316
4/21/19,FPL,273035,281302,8267
4/21/19,MISO,1386297,1236284,-172255
4/21/19,NYIS,329326,271054,-58272
4/21/19,SWPP,599416,609456,10036
4/22/19,CISO,538358,394198,-121837
4/22/19,ERCO,919246,911204,-8061
4/22/19,FPL,299316,308391,9075
4/22/19,MISO,1575470,1464086,-132785
4/22/19,NYIS,365800,286165,-79635
4/22/19,SWPP,637373,641594,4221
4/23/19,CISO,574092,412079,-147922
4/23/19,ERCO,905861,901406,-4465
4/23/19,FPL,310091,322266,12175
4/23/19,MISO,1583382,1479412,-122264
4/23/19,NYIS,367688,285855,-81833
4/23/19,SWPP,626443,621559,-4882
4/24/19,CISO,598400,449364,-136939
4/24/19,ERCO,879718,881648,1903
4/24/19,FPL,320798,329236,8438
4/24/19,MISO,1594075,1502301,-109613
4/24/19,NYIS,367934,303193,-64741
4/24/19,SWPP,625013,612707,-12304
4/25/19,CISO,603119,461223,-127653
4/25/19,ERCO,926240,924145,-2127
4/25/19,FPL,335683,342664,6981
4/25/19,MISO,1597217,1506643,-112880
4/25/19,NYIS,360822,284773,-76049
4/25/19,SWPP,632165,638459,6295
4/26/19,CISO,583488,444007,-122497
4/26/19,ERCO,931651,934967,3287
4/26/19,FPL,334154,330769,-3385
4/26/19,MISO,1559687,1430398,-148076
4/26/19,NYIS,372012,314841,-57171
4/26/19,SWPP,622722,625281,2554
4/27/19,CISO,526134,406040,-99955
4/27/19,ERCO,915882,920042,4135
4/27/19,FPL,329646,332009,2363
4/27/19,MISO,1482206,1344895,-154473
4/27/19,NYIS,349211,306651,-42560
4/27/19,SWPP,604593,612788,8195
4/28/19,CISO,499008,382992,-95140
4/28/19,ERCO,926176,933135,6946
4/28/19,FPL,344012,345780,1768
4/28/19,MISO,1453408,1332004,-138811
4/28/19,NYIS,347093,288553,-58540
4/28/19,SWPP,601483,600448,-1034
4/29/19,CISO,547145,399995,-129919
4/29/19,ERCO,996487,999880,3370
4/29/19,FPL,368218,367288,-930
4/29/19,MISO,1638101,1505755,-150920
4/29/19,NYIS,373049,298053,-74996
4/29/19,SWPP,639929,656836,16909
4/30/19,CISO,549375,424698,-106927
4/30/19,ERCO,1024333,1024201,-1303
4/30/19,FPL,377905,376401,-1504
4/30/19,MISO,1667207,1491616,-196783
4/30/19,NYIS,376362,302190,-74172
4/30/19,SWPP,650909,652216,1310
5/1/19,CISO,548522,422506,-108796
5/1/19,ERCO,1030672,1029130,-1558
5/1/19,FPL,359330,353446,-5884
5/1/19,MISO,1668475,1512526,-173990
5/1/19,NYIS,378242,306126,-72116
5/1/19,SWPP,644256,639222,-5035
5/2/19,CISO,556017,411009,-126205
5/2/19,ERCO,965812,968626,2788
5/2/19,FPL,349750,351738,1988
5/2/19,MISO,1648604,1480263,-182094
5/2/19,NYIS,375043,317026,-58017
5/2/19,SWPP,630062,624174,-5887
5/3/19,CISO,557486,414853,-127498
5/3/19,ERCO,919866,925207,5322
5/3/19,FPL,360545,356917,-3628
5/3/19,MISO,1602088,1427226,-190711
5/3/19,NYIS,371225,312996,-58229
5/3/19,SWPP,619346,600360,-18986
5/4/19,CISO,515497,414770,-78616
5/4/19,ERCO,907147,906709,-447
5/4/19,FPL,369661,362405,-7256
5/4/19,MISO,1464780,1312104,-167048
5/4/19,NYIS,342662,290249,-52413
5/4/19,SWPP,590302,580327,-9975
5/5/19,CISO,476201,396606,-57684
5/5/19,ERCO,940675,940906,217
5/5/19,FPL,361535,353357,-8178
5/5/19,MISO,1444105,1301847,-153820
5/5/19,NYIS,340667,274929,-65738
5/5/19,SWPP,597819,598347,532
5/6/19,CISO,550188,455430,-76778
5/6/19,ERCO,992146,991402,-758
5/6/19,FPL,363005,358430,-4575
5/6/19,MISO,1610198,1460216,-164547
5/6/19,NYIS,364361,311219,-53142
5/6/19,SWPP,664951,660571,-4376
5/7/19,CISO,560238,460634,-79581
5/7/19,ERCO,1009197,1012777,3560
5/7/19,FPL,365673,363494,-2179
5/7/19,MISO,1638883,1491643,-161825
5/7/19,NYIS,369243,322393,-46850
5/7/19,SWPP,669115,660923,-8189
5/8/19,CISO,563610,456825,-96371
5/8/19,ERCO,966479,968347,1850
5/8/19,FPL,372817,370617,-2200
5/8/19,MISO,1645156,1522828,-144535
5/8/19,NYIS,366332,311616,-54716
5/8/19,SWPP,644010,632989,-11021
5/9/19,CISO,527956,444894,-111356
5/9/19,ERCO,994888,993835,-1073
5/9/19,FPL,380107,374765,-5342
5/9/19,MISO,1657191,1529889,-146710
5/9/19,NYIS,369421,323836,-45585
5/9/19,SWPP,630962,635992,5028
5/10/19,CISO,558209,402063,-136574
5/10/19,ERCO,853711,859314,5589
5/10/19,FPL,377447,368992,-8455
5/10/19,MISO,1558131,1420797,-147808
5/10/19,NYIS,376560,329296,-47264
5/10/19,SWPP,617308,593004,-24301
5/11/19,CISO,516783,388607,-105626
5/11/19,ERCO,810328,812191,1851
5/11/19,FPL,377772,375682,-2090
5/11/19,MISO,1461038,1352933,-118085
5/11/19,NYIS,334942,288697,-46245
5/11/19,SWPP,580299,549775,-30520
5/12/19,CISO,505518,369321,-114644
5/12/19,ERCO,832850,830864,-1996
5/12/19,FPL,379110,372487,-6623
5/12/19,MISO,1433414,1289692,-158237
5/12/19,NYIS,345036,294073,-50963
5/12/19,SWPP,568577,547021,-21551
5/13/19,CISO,568773,443810,-105019
5/13/19,ERCO,935346,934562,-793
5/13/19,FPL,379821,374559,-5262
5/13/19,MISO,1598436,1446839,-167344
5/13/19,NYIS,386684,337346,-49338
5/13/19,SWPP,632354,616512,-15839
5/14/19,CISO,575557,448434,-105653
5/14/19,ERCO,983197,982531,-678
5/14/19,FPL,374126,373589,-537
5/14/19,MISO,1614743,1435686,-194955
5/14/19,NYIS,385783,325844,-59939
5/14/19,SWPP,665526,641152,-24374
5/15/19,CISO,571622,422608,-129226
5/15/19,ERCO,1021502,1023064,1542
5/15/19,FPL,355310,354231,-1079
5/15/19,MISO,1656683,1483612,-194793
5/15/19,NYIS,371303,310435,-60868
5/15/19,SWPP,709243,691925,-17319
5/16/19,CISO,551023,405599,-118989
5/16/19,ERCO,1045924,1049439,3497
5/16/19,FPL,354589,354034,-555
5/16/19,MISO,1737149,1557372,-206405
5/16/19,NYIS,368350,310723,-57627
5/16/19,SWPP,749104,744309,-4794
5/17/19,CISO,539544,393313,-116503
5/17/19,ERCO,1075444,1074381,-1084
5/17/19,FPL,357159,361341,4182
5/17/19,MISO,1719939,1583239,-160825
5/17/19,NYIS,375950,330199,-45751
5/17/19,SWPP,737045,737912,871
5/18/19,CISO,513372,351510,-130865
5/18/19,ERCO,1007895,1013299,5387
5/18/19,FPL,356560,358837,2277
5/18/19,MISO,1624055,1522586,-124393
5/18/19,NYIS,338167,290119,-48048
5/18/19,SWPP,641027,634134,-6900
5/19/19,CISO,491009,334006,-125193
5/19/19,ERCO,1063190,1059988,-3204
5/19/19,FPL,377029,373073,-3956
5/19/19,MISO,1545534,1408957,-155097
5/19/19,NYIS,354391,299622,-54769
5/19/19,SWPP,609340,608931,-413
5/20/19,CISO,529308,385278,-114153
5/20/19,ERCO,1157277,1161155,3869
5/20/19,FPL,390449,387717,-2732
5/20/19,MISO,1671627,1536943,-153623
5/20/19,NYIS,421140,364055,-57085
5/20/19,SWPP,644524,642802,-1725
5/21/19,CISO,540713,394110,-115543
5/21/19,ERCO,1095621,1107898,12256
5/21/19,FPL,402573,396973,-5600
5/21/19,MISO,1696189,1550453,-171512
5/21/19,NYIS,378589,333479,-45110
5/21/19,SWPP,647309,639692,-7615
5/22/19,CISO,539911,386321,-123026
5/22/19,ERCO,1163268,1171988,8702
5/22/19,FPL,399751,394582,-5169
5/22/19,MISO,1756081,1601568,-182709
5/22/19,NYIS,376159,326783,-49376
5/22/19,SWPP,674420,655005,-19414
5/23/19,CISO,555236,372186,-149840
5/23/19,ERCO,1209206,1225512,16282
5/23/19,FPL,396573,392995,-3578
5/23/19,MISO,1800352,1631751,-191692
5/23/19,NYIS,388415,334592,-53823
5/23/19,SWPP,708742,703818,-4929
5/24/19,CISO,533063,361102,-141827
5/24/19,ERCO,1188300,1199665,11339
5/24/19,FPL,375244,374506,-738
5/24/19,MISO,1792168,1650794,-165534
5/24/19,NYIS,386320,337118,-49202
5/24/19,SWPP,713869,700151,-13717
5/25/19,CISO,484876,353676,-100766
5/25/19,ERCO,1125065,1128851,3767
5/25/19,FPL,369795,370387,592
5/25/19,MISO,1704265,1551923,-175872
5/25/19,NYIS,347374,302237,-45137
5/25/19,SWPP,668328,673819,5489
5/26/19,CISO,469499,332207,-104610
5/26/19,ERCO,1094000,1094690,680
5/26/19,FPL,384220,377999,-6221
5/26/19,MISO,1626437,1490734,-151111
5/26/19,NYIS,371149,310256,-60893
5/26/19,SWPP,648349,658566,10218
5/27/19,CISO,469628,338414,-99576
5/27/19,ERCO,1118467,1121468,2988
5/27/19,FPL,402936,394065,-8871
5/27/19,MISO,1650997,1521911,-149285
5/27/19,NYIS,378610,321419,-57191
5/27/19,SWPP,677575,682657,5077
5/28/19,CISO,532128,381466,-120778
5/28/19,ERCO,1166704,1172851,6123
5/28/19,FPL,409039,403035,-6004
5/28/19,MISO,1836883,1694590,-167171
5/28/19,NYIS,403083,345401,-57682
5/28/19,SWPP,711774,714933,3161
5/29/19,CISO,558739,380174,-149177
5/29/19,ERCO,1150170,1158559,8362
5/29/19,FPL,407369,400804,-6565
5/29/19,MISO,1813902,1663067,-173419
5/29/19,NYIS,393607,347021,-46586
5/29/19,SWPP,660696,662731,2139
5/30/19,CISO,567400,388175,-150385
5/30/19,ERCO,1119911,1126708,6788
5/30/19,FPL,423480,411831,-11649
5/30/19,MISO,1791638,1633986,-177060
5/30/19,NYIS,388162,352193,-35969
5/30/19,SWPP,674812,662317,-12498
5/31/19,CISO,573132,382995,-160083
5/31/19,ERCO,1110970,1113153,2150
5/31/19,FPL,433603,419176,-14427
5/31/19,MISO,1758545,1618739,-165255
5/31/19,NYIS,405886,352966,-52920
5/31/19,SWPP,704662,698378,-6281
6/1/19,CISO,537255,380512,-126662
6/1/19,ERCO,1123167,1115097,-8095
6/1/19,FPL,414214,405183,-9031
6/1/19,MISO,1706570,1588140,-134732
6/1/19,NYIS,381974,324032,-57942
6/1/19,SWPP,694698,647184,10707
6/2/19,CISO,521429,370115,-119998
6/2/19,ERCO,1113437,1101972,-11485
6/2/19,FPL,411956,401429,-10527
6/2/19,MISO,1635524,1525292,-124087
6/2/19,NYIS,383548,327459,-56089
6/2/19,SWPP,682448,647184,-4675
6/3/19,CISO,592047,410173,-151361
6/3/19,ERCO,1220022,1211234,-8806
6/3/19,FPL,439017,422486,-16531
6/3/19,MISO,1765367,1627457,-159669
6/3/19,NYIS,388387,355405,-32982
6/3/19,SWPP,726823,730416,3595
6/4/19,CISO,638595,436559,-172961
6/4/19,ERCO,1154928,1152007,-2951
6/4/19,FPL,431775,416991,-14784
6/4/19,MISO,1848953,1694118,-179309
6/4/19,NYIS,383231,341402,-41829
6/4/19,SWPP,759153,760828,1676
6/5/19,CISO,667395,452284,-184092
6/5/19,ERCO,1106648,1111419,4743
6/5/19,FPL,429289,416139,-13150
6/5/19,MISO,1890707,1771743,-146278
6/5/19,NYIS,416778,368020,-48758
6/5/19,SWPP,783238,773832,-9404
6/6/19,CISO,623349,432690,-158103
6/6/19,ERCO,1151154,1147666,-3520
6/6/19,FPL,423615,407865,-15750
6/6/19,MISO,1890156,1782130,-131111
6/6/19,NYIS,451560,387722,-63838
6/6/19,SWPP,730444,730868,421
6/7/19,CISO,589293,426158,-130953
6/7/19,ERCO,1163727,1153495,-10265
6/7/19,FPL,405651,392269,-13382
6/7/19,MISO,1909691,1780049,-152818
6/7/19,NYIS,433666,372582,-61084
6/7/19,SWPP,758137,762208,4062
6/8/19,CISO,567250,406441,-129865
6/8/19,ERCO,1188298,1177217,-11103
6/8/19,FPL,382755,375415,-7340
6/8/19,MISO,1745125,1619354,-151330
6/8/19,NYIS,392216,323556,-68660
6/8/19,SWPP,580904,614401,33512
6/9/19,CISO,600308,422658,-148101
6/9/19,ERCO,1176882,1161360,-15541
6/9/19,FPL,354552,347730,-6822
6/9/19,MISO,1699679,1562845,-163327
6/9/19,NYIS,378039,312183,-65856
6/9/19,SWPP,640766,708030,36693
6/10/19,CISO,745187,514774,-201003
6/10/19,ERCO,1125590,1120341,-5276
6/10/19,FPL,374321,367206,-7115
6/10/19,MISO,1789440,1644244,-171595
6/10/19,NYIS,412262,345010,-67252
6/10/19,SWPP,694811,692458,2110
6/11/19,CISO,789174,575885,-182760
6/11/19,ERCO,1039363,1039546,163
6/11/19,FPL,401431,398538,-2893
6/11/19,MISO,1728912,1600714,-153111
6/11/19,NYIS,412942,350726,-62216
6/11/19,SWPP,685966,695693,9728
6/12/19,CISO,762873,591407,-138552
6/12/19,ERCO,1089103,1088047,-1081
6/12/19,FPL,396406,395530,-876
6/12/19,MISO,1689530,1554604,-161006
6/12/19,NYIS,403418,342605,-60813
6/12/19,SWPP,687787,699257,11470
6/13/19,CISO,674271,508676,-132931
6/13/19,ERCO,1135519,1135815,276
6/13/19,FPL,380537,376093,-4444
6/13/19,MISO,1676533,1479439,-220177
6/13/19,NYIS,394619,330278,-64341
6/13/19,SWPP,694630,705048,10418
6/14/19,CISO,629028,475931,-122507
6/14/19,ERCO,1176583,1173594,-3006
6/14/19,FPL,366015,360748,-5267
6/14/19,MISO,1697483,1507766,-210992
6/14/19,NYIS,388608,333084,-55524
6/14/19,SWPP,723271,739121,15854
6/15/19,CISO,572928,426910,-114220
6/15/19,ERCO,1216489,1214485,-2016
6/15/19,FPL,365794,359017,-6777
6/15/19,MISO,1653238,1465183,-211658
6/15/19,NYIS,375909,320805,-55104
6/15/19,SWPP,740609,739518,-1093
6/16/19,CISO,546814,410247,-105728
6/16/19,ERCO,1087517,1082317,-5209
6/16/19,FPL,327594,327350,-244
6/16/19,MISO,1631497,1476429,-177464
6/16/19,NYIS,389609,314384,-75225
6/16/19,SWPP,686401,685234,-1168
6/17/19,CISO,628314,453917,-144344
6/17/19,ERCO,1100237,1104314,4048
6/17/19,FPL,340059,340293,234
6/17/19,MISO,1760605,1628694,-152601
6/17/19,NYIS,438278,355337,-82941
6/17/19,SWPP,745534,736952,-8579
6/18/19,CISO,661047,449554,-181689
6/18/19,ERCO,1217769,1215124,-2677
6/18/19,FPL,365638,363822,-1816
6/18/19,MISO,1866099,1688859,-197277
6/18/19,NYIS,440296,367924,-72372
6/18/19,SWPP,754172,751001,-3175
6/19/19,CISO,668110,468396,-170468
6/19/19,ERCO,1296457,1290824,-5655
6/19/19,FPL,380420,381337,917
6/19/19,MISO,1889723,1732766,-181462
6/19/19,NYIS,438571,371226,-67345
6/19/19,SWPP,759947,746821,-13149
6/20/19,CISO,635358,444758,-160923
6/20/19,ERCO,1318502,1306595,-11926
6/20/19,FPL,430203,423004,-7199
6/20/19,MISO,1854409,1712713,-167055
6/20/19,NYIS,448406,374697,-73709
6/20/19,SWPP,825953,816911,-8853
6/21/19,CISO,600115,425408,-143668
