Natural Gas Type,Count Emissions from Building Well Infrastructure,Methane Leakage Parameter,activity,flow_source,flows,flow_breakdown,value,unit,direction,type,Source,comment,data location
Shale,No,EDF (2.3%),Recovery,Residual oil,Residual oil,,0.000243666,MJ/MJ,input,energy,GREET,recovery-NA (North America) and non-NA emissions are almost the same.,NG tab Row 38 for shale gas
Shale,Yes,EDF (2.3%),Recovery,Residual oil,Residual oil,,0.000243666,MJ/MJ,input,energy,GREET,recovery-NA (North America) and non-NA emissions are almost the same.,NG tab Row 38 for shale gas
Conventional,No,EDF (2.3%),Processing,electricity,sox,,0.000000178,kg/MJ,output,mass,GREET,processing-NA (North America) and non-NA emissions are almost the same.,"See ""co2 from h2"" flow"
Conventional,Yes,EDF (2.3%),Processing,electricity,sox,,0.000000178,kg/MJ,output,mass,GREET,processing-NA (North America) and non-NA emissions are almost the same.,"See ""co2 from h2"" flow"
Conventional,No,EDF (2.3%),Processing,total,sox,,0.000000463,kg/MJ,output,mass,GREET,Total from processing (combustion) -NA (North America) and non-NA emissions are almost the same.,"See ""co2"" flow"
Conventional,Yes,EDF (2.3%),Processing,total,sox,,0.000000533,kg/MJ,output,mass,GREET,Total from processing (combustion) -NA (North America) and non-NA emissions are almost the same.,"See ""co2"" flow"
Conventional,No,EDF (2.3%),Processing: Non-Combustion ,total,sox,,0.00000956,kg/MJ,output,mass,GREET,Total from processing (non-combustion) -NA (North America) and non-NA emissions are almost the same.,"See ""co2"" flow"
Conventional,Yes,EDF (2.3%),Processing: Non-Combustion ,total,sox,,0.00000956,kg/MJ,output,mass,GREET,Total from processing (non-combustion) -NA (North America) and non-NA emissions are almost the same.,"See ""co2"" flow"
Conventional,No,EDF (2.3%),Recovery,electricity,sox,,5.57E-08,kg/MJ,output,mass,GREET,recovery-NA (North America) and non-NA emissions are almost the same.,"See ""co2 from electricity"" flow"
Conventional,Yes,EDF (2.3%),Recovery,electricity,sox,,5.57E-08,kg/MJ,output,mass,GREET,recovery-NA (North America) and non-NA emissions are almost the same.,"See ""co2 from electricity"" flow"
Conventional,No,EDF (2.3%),Recovery,total,sox,,0.000000493,kg/MJ,output,mass,GREET,Total from recovery -NA (North America) and non-NA emissions are almost the same.,"See ""co2"" flow"
Conventional,Yes,EDF (2.3%),Recovery,total,sox,,0.00000305,kg/MJ,output,mass,GREET,Total from recovery -NA (North America) and non-NA emissions are almost the same.,"See ""co2"" flow"
Mix (~50/50 Conventional/Shale),No,EDF (2.3%),Processing,electricity,sox,,0.000000178,kg/MJ,output,mass,GREET,processing-NA (North America) and non-NA emissions are almost the same.,"See ""co2 from h2"" flow, 48% conventional, 52% shale"
Mix (~50/50 Conventional/Shale),Yes,EDF (2.3%),Processing,electricity,sox,,0.000000178,kg/MJ,output,mass,GREET,processing-NA (North America) and non-NA emissions are almost the same.,"See ""co2 from h2"" flow, 48% conventional, 52% shale"
Mix (~50/50 Conventional/Shale),No,EDF (2.3%),Processing,total,sox,,0.000000462,kg/MJ,output,mass,GREET,Total from processing (combustion) -NA (North America) and non-NA emissions are almost the same.,"See ""co2"" flow, 48% conventional, 52% shale"
Mix (~50/50 Conventional/Shale),Yes,EDF (2.3%),Processing,total,sox,,0.000000543,kg/MJ,output,mass,GREET,Total from processing (combustion) -NA (North America) and non-NA emissions are almost the same.,"See ""co2"" flow, 48% conventional, 52% shale"
Mix (~50/50 Conventional/Shale),No,EDF (2.3%),Processing: Non-Combustion ,total,sox,,0.00000956,kg/MJ,output,mass,GREET,Total from processing (non-combustion) -NA (North America) and non-NA emissions are almost the same.,"See ""co2"" flow, 48% conventional, 52% shale"
Mix (~50/50 Conventional/Shale),Yes,EDF (2.3%),Processing: Non-Combustion ,total,sox,,0.00000956,kg/MJ,output,mass,GREET,Total from processing (non-combustion) -NA (North America) and non-NA emissions are almost the same.,"See ""co2"" flow, 48% conventional, 52% shale"
Mix (~50/50 Conventional/Shale),No,EDF (2.3%),Recovery,electricity,sox,,5.43E-08,kg/MJ,output,mass,GREET,recovery-NA (North America) and non-NA emissions are almost the same.,"See ""co2 from electricity"" flow, 48% conventional, 52% shale"
Mix (~50/50 Conventional/Shale),Yes,EDF (2.3%),Recovery,electricity,sox,,5.43E-08,kg/MJ,output,mass,GREET,recovery-NA (North America) and non-NA emissions are almost the same.,"See ""co2 from electricity"" flow, 48% conventional, 52% shale"
Mix (~50/50 Conventional/Shale),No,EDF (2.3%),Recovery,total,sox,,0.00000048,kg/MJ,output,mass,GREET,Total from recovery -NA (North America) and non-NA emissions are almost the same.,"See ""co2"" flow, 48% conventional, 52% shale"
Mix (~50/50 Conventional/Shale),Yes,EDF (2.3%),Recovery,total,sox,,0.00000342,kg/MJ,output,mass,GREET,Total from recovery -NA (North America) and non-NA emissions are almost the same.,"See ""co2"" flow, 48% conventional, 52% shale"
Shale,No,EDF (2.3%),Processing,electricity,sox,,0.000000178,kg/MJ,output,mass,GREET,processing-NA (North America) and non-NA emissions are almost the same.,"See ""co2 from h2"" flow"
Shale,Yes,EDF (2.3%),Processing,electricity,sox,,0.000000178,kg/MJ,output,mass,GREET,processing-NA (North America) and non-NA emissions are almost the same.,"See ""co2 from h2"" flow"
Shale,No,EDF (2.3%),Processing,total,sox,,0.000000462,kg/MJ,output,mass,GREET,Total from processing (combustion) -NA (North America) and non-NA emissions are almost the same.,"See ""co2"" flow"
Shale,Yes,EDF (2.3%),Processing,total,sox,,0.000000552,kg/MJ,output,mass,GREET,Total from processing (combustion) -NA (North America) and non-NA emissions are almost the same.,"See ""co2"" flow"
Shale,No,EDF (2.3%),Processing: Non-Combustion ,total,sox,,0.00000956,kg/MJ,output,mass,GREET,Total from processing (non-combustion) -NA (North America) and non-NA emissions are almost the same.,"See ""co2"" flow"
Shale,Yes,EDF (2.3%),Processing: Non-Combustion ,total,sox,,0.00000956,kg/MJ,output,mass,GREET,Total from processing (non-combustion) -NA (North America) and non-NA emissions are almost the same.,"See ""co2"" flow"
Shale,No,EDF (2.3%),Recovery,electricity,sox,,0.000000053,kg/MJ,output,mass,GREET,recovery-NA (North America) and non-NA emissions are almost the same.,"See ""co2 from electricity"" flow"
Shale,Yes,EDF (2.3%),Recovery,electricity,sox,,0.000000053,kg/MJ,output,mass,GREET,recovery-NA (North America) and non-NA emissions are almost the same.,"See ""co2 from electricity"" flow"
Shale,No,EDF (2.3%),Recovery,total,sox,,0.000000469,kg/MJ,output,mass,GREET,Total from recovery -NA (North America) and non-NA emissions are almost the same.,"See ""co2"" flow"
Shale,Yes,EDF (2.3%),Recovery,total,sox,,0.00000375,kg/MJ,output,mass,GREET,Total from recovery -NA (North America) and non-NA emissions are almost the same.,"See ""co2"" flow"
Conventional,No,EDF (2.3%),Processing,electricity,voc,,1.16E-08,kg/MJ,output,mass,GREET,processing-NA (North America) and non-NA emissions are almost the same.,"See ""co2 from h2"" flow"
Conventional,Yes,EDF (2.3%),Processing,electricity,voc,,1.16E-08,kg/MJ,output,mass,GREET,processing-NA (North America) and non-NA emissions are almost the same.,"See ""co2 from h2"" flow"
Conventional,No,EDF (2.3%),Processing,total,voc,,0.000000226,kg/MJ,output,mass,GREET,Total from processing (combustion)-NA (North America) and non-NA emissions are almost the same.,"See ""co2"" flow"
Conventional,Yes,EDF (2.3%),Processing,total,voc,,0.000000246,kg/MJ,output,mass,GREET,Total from processing (combustion)-NA (North America) and non-NA emissions are almost the same.,"See ""co2"" flow"
Conventional,No,EDF (2.3%),Processing: Non-Combustion ,total,voc,,0.00000417,kg/MJ,output,mass,GREET,Total from processing (non-combustion) -NA (North America) and non-NA emissions are almost the same.,"See ""co2"" flow"
Conventional,Yes,EDF (2.3%),Processing: Non-Combustion ,total,voc,,0.00000417,kg/MJ,output,mass,GREET,Total from processing (non-combustion) -NA (North America) and non-NA emissions are almost the same.,"See ""co2"" flow"
Conventional,No,EDF (2.3%),Recovery,electricity,voc,,3.65E-09,kg/MJ,output,mass,GREET,recovery-NA (North America) and non-NA emissions are almost the same.,"See ""co2 from electricity"" flow"
Conventional,Yes,EDF (2.3%),Recovery,electricity,voc,,3.65E-09,kg/MJ,output,mass,GREET,recovery-NA (North America) and non-NA emissions are almost the same.,"See ""co2 from electricity"" flow"
Conventional,No,EDF (2.3%),Recovery,total,voc,,1.74E-06,kg/MJ,output,mass,GREET,Total from recovery -NA (North America) and non-NA emissions are almost the same.,"See ""co2"" flow"
Conventional,Yes,EDF (2.3%),Recovery,total,voc,,2.48E-06,kg/MJ,output,mass,GREET,Total from recovery -NA (North America) and non-NA emissions are almost the same.,"See ""co2"" flow"
Mix (~50/50 Conventional/Shale),No,EDF (2.3%),Processing,electricity,voc,,1.16E-08,kg/MJ,output,mass,GREET,processing-NA (North America) and non-NA emissions are almost the same.,"See ""co2 from h2"" flow, 48% conventional, 52% shale"
Mix (~50/50 Conventional/Shale),Yes,EDF (2.3%),Processing,electricity,voc,,1.16E-08,kg/MJ,output,mass,GREET,processing-NA (North America) and non-NA emissions are almost the same.,"See ""co2 from h2"" flow, 48% conventional, 52% shale"
Mix (~50/50 Conventional/Shale),No,EDF (2.3%),Processing,total,voc,,2.25E-07,kg/MJ,output,mass,GREET,Total from processing (combustion)-NA (North America) and non-NA emissions are almost the same.,"See ""co2"" flow, 48% conventional, 52% shale"
Mix (~50/50 Conventional/Shale),Yes,EDF (2.3%),Processing,total,voc,,2.48E-07,kg/MJ,output,mass,GREET,Total from processing (combustion)-NA (North America) and non-NA emissions are almost the same.,"See ""co2"" flow, 48% conventional, 52% shale"
Mix (~50/50 Conventional/Shale),No,EDF (2.3%),Processing: Non-Combustion ,total,voc,,0.00000417,kg/MJ,output,mass,GREET,Total from processing (non-combustion) -NA (North America) and non-NA emissions are almost the same.,"See ""co2"" flow, 48% conventional, 52% shale"
Mix (~50/50 Conventional/Shale),Yes,EDF (2.3%),Processing: Non-Combustion ,total,voc,,0.00000417,kg/MJ,output,mass,GREET,Total from processing (non-combustion) -NA (North America) and non-NA emissions are almost the same.,"See ""co2"" flow, 48% conventional, 52% shale"
Mix (~50/50 Conventional/Shale),No,EDF (2.3%),Recovery,electricity,voc,,3.56E-09,kg/MJ,output,mass,GREET,recovery-NA (North America) and non-NA emissions are almost the same.,"See ""co2 from electricity"" flow, 48% conventional, 52% shale"
Mix (~50/50 Conventional/Shale),Yes,EDF (2.3%),Recovery,electricity,voc,,3.56E-09,kg/MJ,output,mass,GREET,recovery-NA (North America) and non-NA emissions are almost the same.,"See ""co2 from electricity"" flow, 48% conventional, 52% shale"
Mix (~50/50 Conventional/Shale),No,EDF (2.3%),Recovery,total,voc,,1.69E-06,kg/MJ,output,mass,GREET,Total from recovery -NA (North America) and non-NA emissions are almost the same.,"See ""co2"" flow, 48% conventional, 52% shale"
Mix (~50/50 Conventional/Shale),Yes,EDF (2.3%),Recovery,total,voc,,2.54E-06,kg/MJ,output,mass,GREET,Total from recovery -NA (North America) and non-NA emissions are almost the same.,"See ""co2"" flow, 48% conventional, 52% shale"
Shale,No,EDF (2.3%),Processing,electricity,voc,,1.16E-08,kg/MJ,output,mass,GREET,processing-NA (North America) and non-NA emissions are almost the same.,"See ""co2 from h2"" flow"
Shale,Yes,EDF (2.3%),Processing,electricity,voc,,1.16E-08,kg/MJ,output,mass,GREET,processing-NA (North America) and non-NA emissions are almost the same.,"See ""co2 from h2"" flow"
Shale,No,EDF (2.3%),Processing,total,voc,,2.24E-07,kg/MJ,output,mass,GREET,Total from processing (combustion)-NA (North America) and non-NA emissions are almost the same.,"See ""co2"" flow"
Shale,Yes,EDF (2.3%),Processing,total,voc,,2.50E-07,kg/MJ,output,mass,GREET,Total from processing (combustion)-NA (North America) and non-NA emissions are almost the same.,"See ""co2"" flow"
Shale,No,EDF (2.3%),Processing: Non-Combustion ,total,voc,,4.17E-06,kg/MJ,output,mass,GREET,Total from processing (non-combustion) -NA (North America) and non-NA emissions are almost the same.,"See ""co2"" flow"
Shale,Yes,EDF (2.3%),Processing: Non-Combustion ,total,voc,,4.17E-06,kg/MJ,output,mass,GREET,Total from processing (non-combustion) -NA (North America) and non-NA emissions are almost the same.,"See ""co2"" flow"
Shale,No,EDF (2.3%),Recovery,electricity,voc,,3.47E-09,kg/MJ,output,mass,GREET,recovery-NA (North America) and non-NA emissions are almost the same.,"See ""co2 from electricity"" flow"
Shale,Yes,EDF (2.3%),Recovery,electricity,voc,,3.47E-09,kg/MJ,output,mass,GREET,recovery-NA (North America) and non-NA emissions are almost the same.,"See ""co2 from electricity"" flow"
Shale,No,EDF (2.3%),Recovery,total,voc,,1.65E-06,kg/MJ,output,mass,GREET,Total from recovery -NA (North America) and non-NA emissions are almost the same.,"See ""co2"" flow"
Shale,Yes,EDF (2.3%),Recovery,total,voc,,2.60E-06,kg/MJ,output,mass,GREET,Total from recovery -NA (North America) and non-NA emissions are almost the same.,"See ""co2"" flow"
Conventional,No,EDF (2.3%),Processing,Natural gas: process fuel,,,2.61E-02,MJ/MJ,input,energy,GREET,processing-NA (North America) and non-NA emissions are almost the same.,NG tab Row 41 for conventional gas
Conventional,Yes,EDF (2.3%),Processing,Natural gas: process fuel,,,2.61E-02,MJ/MJ,input,energy,GREET,processing-NA (North America) and non-NA emissions are almost the same.,NG tab Row 41 for conventional gas
Mix (~50/50 Conventional/Shale),No,EDF (2.3%),Processing,Natural gas: process fuel,,,2.61E-02,MJ/MJ,input,energy,GREET,processing-NA (North America) and non-NA emissions are almost the same.,"NG tab Row 41, 48% conventional, 52% shale"
Mix (~50/50 Conventional/Shale),Yes,EDF (2.3%),Processing,Natural gas: process fuel,,,2.61E-02,MJ/MJ,input,energy,GREET,processing-NA (North America) and non-NA emissions are almost the same.,"NG tab Row 41, 48% conventional, 52% shale"
Shale,No,EDF (2.3%),Processing,Natural gas: process fuel,,,0.026123097,MJ/MJ,input,energy,GREET,processing-NA (North America) and non-NA emissions are almost the same.,NG tab Row 41 for shale gas
Shale,Yes,EDF (2.3%),Processing,Natural gas: process fuel,,,0.026123097,MJ/MJ,input,energy,GREET,processing-NA (North America) and non-NA emissions are almost the same.,NG tab Row 41 for shale gas
Conventional,No,EDF (2.3%),Processing: Non-Combustion ,total,bc,,0,kg/MJ,output,mass,GREET,Total from processing (non-combustion) -NA (North America) and non-NA emissions are almost the same.,"See ""co2"" flow"
Conventional,Yes,EDF (2.3%),Processing: Non-Combustion ,total,bc,,0,kg/MJ,output,mass,GREET,Total from processing (non-combustion) -NA (North America) and non-NA emissions are almost the same.,"See ""co2"" flow"
Mix (~50/50 Conventional/Shale),No,EDF (2.3%),Processing: Non-Combustion ,total,bc,,0.00E+00,kg/MJ,output,mass,GREET,Total from processing (non-combustion) -NA (North America) and non-NA emissions are almost the same.,"See ""co2"" flow, 48% conventional, 52% shale"
Mix (~50/50 Conventional/Shale),Yes,EDF (2.3%),Processing: Non-Combustion ,total,bc,,0.00E+00,kg/MJ,output,mass,GREET,Total from processing (non-combustion) -NA (North America) and non-NA emissions are almost the same.,"See ""co2"" flow, 48% conventional, 52% shale"
Shale,No,EDF (2.3%),Processing: Non-Combustion ,total,bc,,0.00E+00,kg/MJ,output,mass,GREET,Total from processing (non-combustion) -NA (North America) and non-NA emissions are almost the same.,"See ""co2"" flow"
Shale,Yes,EDF (2.3%),Processing: Non-Combustion ,total,bc,,0.00E+00,kg/MJ,output,mass,GREET,Total from processing (non-combustion) -NA (North America) and non-NA emissions are almost the same.,"See ""co2"" flow"
Conventional,No,EDF (2.3%),Processing: Non-Combustion ,total,ch4,combustion,0.00E+00,kg/MJ,output,mass,GREET,Total from processing (non-combustion) -NA (North America) and non-NA emissions are almost the same.,"See ""co2"" flow"
Conventional,Yes,EDF (2.3%),Processing: Non-Combustion ,total,ch4,combustion,0.00E+00,kg/MJ,output,mass,GREET,Total from processing (non-combustion) -NA (North America) and non-NA emissions are almost the same.,"See ""co2"" flow"
Mix (~50/50 Conventional/Shale),No,EDF (2.3%),Processing: Non-Combustion ,total,ch4,combustion,0.00E+00,kg/MJ,output,mass,GREET,Total from processing (non-combustion) -NA (North America) and non-NA emissions are almost the same.,"See ""co2"" flow, 48% conventional, 52% shale"
Mix (~50/50 Conventional/Shale),Yes,EDF (2.3%),Processing: Non-Combustion ,total,ch4,combustion,0.00E+00,kg/MJ,output,mass,GREET,Total from processing (non-combustion) -NA (North America) and non-NA emissions are almost the same.,"See ""co2"" flow, 48% conventional, 52% shale"
Shale,No,EDF (2.3%),Processing: Non-Combustion ,total,ch4,combustion,0.00E+00,kg/MJ,output,mass,GREET,Total from processing (non-combustion) -NA (North America) and non-NA emissions are almost the same.,"See ""co2"" flow"
Shale,Yes,EDF (2.3%),Processing: Non-Combustion ,total,ch4,combustion,0.00E+00,kg/MJ,output,mass,GREET,Total from processing (non-combustion) -NA (North America) and non-NA emissions are almost the same.,"See ""co2"" flow"
Conventional,No,EDF (2.3%),Processing: Non-Combustion ,total,ch4,leakage,0.00E+00,kg/MJ,output,mass,GREET,Total from processing (non-combustion) -NA (North America) and non-NA emissions are almost the same.,"See ""co2"" flow"
Conventional,Yes,EDF (2.3%),Processing: Non-Combustion ,total,ch4,leakage,0.00E+00,kg/MJ,output,mass,GREET,Total from processing (non-combustion) -NA (North America) and non-NA emissions are almost the same.,"See ""co2"" flow"
Mix (~50/50 Conventional/Shale),No,EDF (2.3%),Processing: Non-Combustion ,total,ch4,leakage,0.00E+00,kg/MJ,output,mass,GREET,Total from processing (non-combustion) -NA (North America) and non-NA emissions are almost the same.,"See ""co2"" flow, 48% conventional, 52% shale"
Mix (~50/50 Conventional/Shale),Yes,EDF (2.3%),Processing: Non-Combustion ,total,ch4,leakage,0.00E+00,kg/MJ,output,mass,GREET,Total from processing (non-combustion) -NA (North America) and non-NA emissions are almost the same.,"See ""co2"" flow, 48% conventional, 52% shale"
Shale,No,EDF (2.3%),Processing: Non-Combustion ,total,ch4,leakage,0.00E+00,kg/MJ,output,mass,GREET,Total from processing (non-combustion) -NA (North America) and non-NA emissions are almost the same.,"See ""co2"" flow"
Shale,Yes,EDF (2.3%),Processing: Non-Combustion ,total,ch4,leakage,0.00E+00,kg/MJ,output,mass,GREET,Total from processing (non-combustion) -NA (North America) and non-NA emissions are almost the same.,"See ""co2"" flow"
Conventional,No,EDF (2.3%),Processing: Non-Combustion ,total,n2o,,0,kg/MJ,output,mass,GREET,Total from processing (non-combustion) -NA (North America) and non-NA emissions are almost the same.,"See ""co2"" flow"
Conventional,Yes,EDF (2.3%),Processing: Non-Combustion ,total,n2o,,0,kg/MJ,output,mass,GREET,Total from processing (non-combustion) -NA (North America) and non-NA emissions are almost the same.,"See ""co2"" flow"
Mix (~50/50 Conventional/Shale),No,EDF (2.3%),Processing: Non-Combustion ,total,n2o,,0,kg/MJ,output,mass,GREET,Total from processing (non-combustion) -NA (North America) and non-NA emissions are almost the same.,"See ""co2"" flow, 48% conventional, 52% shale"
Mix (~50/50 Conventional/Shale),Yes,EDF (2.3%),Processing: Non-Combustion ,total,n2o,,0,kg/MJ,output,mass,GREET,Total from processing (non-combustion) -NA (North America) and non-NA emissions are almost the same.,"See ""co2"" flow, 48% conventional, 52% shale"
Shale,No,EDF (2.3%),Processing: Non-Combustion ,total,n2o,,0.00E+00,kg/MJ,output,mass,GREET,Total from processing (non-combustion) -NA (North America) and non-NA emissions are almost the same.,"See ""co2"" flow"
Shale,Yes,EDF (2.3%),Processing: Non-Combustion ,total,n2o,,0.00E+00,kg/MJ,output,mass,GREET,Total from processing (non-combustion) -NA (North America) and non-NA emissions are almost the same.,"See ""co2"" flow"
Conventional,No,EDF (2.3%),Processing: Non-Combustion ,total,oc,,0.00E+00,kg/MJ,output,mass,GREET,Total from processing (non-combustion) -NA (North America) and non-NA emissions are almost the same.,"See ""co2"" flow"
Conventional,Yes,EDF (2.3%),Processing: Non-Combustion ,total,oc,,0.00E+00,kg/MJ,output,mass,GREET,Total from processing (non-combustion) -NA (North America) and non-NA emissions are almost the same.,"See ""co2"" flow"
Mix (~50/50 Conventional/Shale),No,EDF (2.3%),Processing: Non-Combustion ,total,oc,,0.00E+00,kg/MJ,output,mass,GREET,Total from processing (non-combustion) -NA (North America) and non-NA emissions are almost the same.,"See ""co2"" flow, 48% conventional, 52% shale"
Mix (~50/50 Conventional/Shale),Yes,EDF (2.3%),Processing: Non-Combustion ,total,oc,,0.00E+00,kg/MJ,output,mass,GREET,Total from processing (non-combustion) -NA (North America) and non-NA emissions are almost the same.,"See ""co2"" flow, 48% conventional, 52% shale"
Shale,No,EDF (2.3%),Processing: Non-Combustion ,total,oc,,0.00E+00,kg/MJ,output,mass,GREET,Total from processing (non-combustion) -NA (North America) and non-NA emissions are almost the same.,"See ""co2"" flow"
Shale,Yes,EDF (2.3%),Processing: Non-Combustion ,total,oc,,0.00E+00,kg/MJ,output,mass,GREET,Total from processing (non-combustion) -NA (North America) and non-NA emissions are almost the same.,"See ""co2"" flow"
Conventional,No,EDF 2019,Processing,total,ch4,combustion,0.00000646,kg/MJ,output,mass,GREET,Total from processing (combustion) -NA (North America) and non-NA emissions are almost the same.,"See ""co2"" flow"
Conventional,Yes,EDF 2019,Processing,total,ch4,combustion,0.0000065,kg/MJ,output,mass,GREET,Total from processing (combustion) -NA (North America) and non-NA emissions are almost the same.,"See ""co2"" flow"
Conventional,No,EDF 2019,Recovery,total,ch4,combustion,0.0000097,kg/MJ,output,mass,GREET,Total from recovery -NA (North America) and non-NA emissions are almost the same.,"See ""co2"" flow"
Conventional,Yes,EDF 2019,Recovery,total,ch4,combustion,0.0000112,kg/MJ,output,mass,GREET,Total from recovery -NA (North America) and non-NA emissions are almost the same.,"See ""co2"" flow"
Mix (~50/50 Conventional/Shale),No,EDF 2019,Processing,total,ch4,combustion,0.00000645,kg/MJ,output,mass,GREET,Total from processing (combustion) -NA (North America) and non-NA emissions are almost the same.,"See ""co2"" flow, 48% conventional, 52% shale"
Mix (~50/50 Conventional/Shale),Yes,EDF 2019,Processing,total,ch4,combustion,0.0000065,kg/MJ,output,mass,GREET,Total from processing (combustion) -NA (North America) and non-NA emissions are almost the same.,"See ""co2"" flow, 48% conventional, 52% shale"
Mix (~50/50 Conventional/Shale),No,EDF 2019,Recovery,total,ch4,combustion,0.00000946,kg/MJ,output,mass,GREET,Total from recovery -NA (North America) and non-NA emissions are almost the same.,"See ""co2"" flow, 48% conventional, 52% shale"
Mix (~50/50 Conventional/Shale),Yes,EDF 2019,Recovery,total,ch4,combustion,0.0000112,kg/MJ,output,mass,GREET,Total from recovery -NA (North America) and non-NA emissions are almost the same.,"See ""co2"" flow, 48% conventional, 52% shale"
Shale,No,EDF 2019,Processing,total,ch4,combustion,0.00000645,kg/MJ,output,mass,GREET,Total from processing (combustion) -NA (North America) and non-NA emissions are almost the same.,"See ""co2"" flow"
Shale,Yes,EDF 2019,Processing,total,ch4,combustion,0.0000065,kg/MJ,output,mass,GREET,Total from processing (combustion) -NA (North America) and non-NA emissions are almost the same.,"See ""co2"" flow"
Shale,Yes,EDF 2019,Recovery,total,ch4,combustion,0.0000111,kg/MJ,output,mass,GREET,Total from recovery -NA (North America) and non-NA emissions are almost the same.,"See ""co2"" flow"
Shale,No,EDF 2019,Recovery,total,ch4,combustion,0.00000924,kg/MJ,output,mass,GREET,Total from recovery -NA (North America) and non-NA emissions are almost the same.,"See ""co2"" flow"
Conventional,No,EDF 2019,Processing,total,ch4,leakage,0.00000913,kg/MJ,output,mass,GREET,Total from processing (combustion) -NA (North America) and non-NA emissions are almost the same.,"See ""co2"" flow"
Conventional,Yes,EDF 2019,Processing,total,ch4,leakage,0.00000913,kg/MJ,output,mass,GREET,Total from processing (combustion) -NA (North America) and non-NA emissions are almost the same.,"See ""co2"" flow"
Conventional,No,EDF 2019,Recovery,total,ch4,leakage,0.000204424,kg/MJ,output,mass,GREET,Total from recovery -NA (North America) and non-NA emissions are almost the same.,"See ""co2"" flow"
Conventional,Yes,EDF 2019,Recovery,total,ch4,leakage,0.000204424,kg/MJ,output,mass,GREET,Total from recovery -NA (North America) and non-NA emissions are almost the same.,"See ""co2"" flow"
Mix (~50/50 Conventional/Shale),No,EDF 2019,Processing,total,ch4,leakage,0.00000913,kg/MJ,output,mass,GREET,Total from processing (combustion) -NA (North America) and non-NA emissions are almost the same.,"See ""co2"" flow, 48% conventional, 52% shale"
Mix (~50/50 Conventional/Shale),Yes,EDF 2019,Processing,total,ch4,leakage,0.00000913,kg/MJ,output,mass,GREET,Total from processing (combustion) -NA (North America) and non-NA emissions are almost the same.,"See ""co2"" flow, 48% conventional, 52% shale"
Mix (~50/50 Conventional/Shale),No,EDF 2019,Recovery,total,ch4,leakage,0.000204424,kg/MJ,output,mass,GREET,Total from recovery -NA (North America) and non-NA emissions are almost the same.,"See ""co2"" flow, 48% conventional, 52% shale"
Mix (~50/50 Conventional/Shale),Yes,EDF 2019,Recovery,total,ch4,leakage,0.000204424,kg/MJ,output,mass,GREET,Total from recovery -NA (North America) and non-NA emissions are almost the same.,"See ""co2"" flow, 48% conventional, 52% shale"
Shale,No,EDF 2019,Processing,total,ch4,leakage,0.00000913,kg/MJ,output,mass,GREET,Total from processing (combustion) -NA (North America) and non-NA emissions are almost the same.,"See ""co2"" flow"
Shale,Yes,EDF 2019,Processing,total,ch4,leakage,0.00000913,kg/MJ,output,mass,GREET,Total from processing (combustion) -NA (North America) and non-NA emissions are almost the same.,"See ""co2"" flow"
Shale,No,EDF 2019,Recovery,total,ch4,leakage,0.000204424,kg/MJ,output,mass,GREET,Total from recovery -NA (North America) and non-NA emissions are almost the same.,"See ""co2"" flow"
Shale,Yes,EDF 2019,Recovery,total,ch4,leakage,0.000204424,kg/MJ,output,mass,GREET,Total from recovery -NA (North America) and non-NA emissions are almost the same.,"See ""co2"" flow"
Conventional,No,EDF 2019,Processing,total,co2,,0.001876838,kg/MJ,output,mass,GREET,Total from processing (combustion) -NA (North America) and non-NA emissions are almost the same.,"NG tab Row 66 for conventional gas (prcoessing, non-combustion)"
Conventional,Yes,EDF 2019,Processing,total,co2,,0.001904454,kg/MJ,output,mass,GREET,Total from processing (combustion) -NA (North America) and non-NA emissions are almost the same.,"NG tab Row 66 for conventional gas (prcoessing, non-combustion)"
Conventional,No,EDF 2019,Recovery,total,co2,,0.001718291,kg/MJ,output,mass,GREET,Total from recovery -NA (North America) and non-NA emissions are almost the same.,NG tab Row 66 for conventional gas (recovery)
Conventional,Yes,EDF 2019,Recovery,total,co2,,0.002720762,kg/MJ,output,mass,GREET,Total from recovery -NA (North America) and non-NA emissions are almost the same.,NG tab Row 66 for conventional gas (recovery)
Mix (~50/50 Conventional/Shale),No,EDF 2019,Processing,total,co2,,0.001875972,kg/MJ,output,mass,GREET,Total from processing (combustion) -NA (North America) and non-NA emissions are almost the same.,"NG tab Row 66, 48% conventional, 52% shale"
Mix (~50/50 Conventional/Shale),Yes,EDF 2019,Processing,total,co2,,0.001906449,kg/MJ,output,mass,GREET,Total from processing (combustion) -NA (North America) and non-NA emissions are almost the same.,"NG tab Row 66, 48% conventional, 52% shale"
Mix (~50/50 Conventional/Shale),No,EDF 2019,Recovery,total,co2,,0.001686012,kg/MJ,output,mass,GREET,Total from recovery -NA (North America) and non-NA emissions are almost the same.,"NG tab Row 66, 48% conventional, 52% shale"
Mix (~50/50 Conventional/Shale),Yes,EDF 2019,Recovery,total,co2,,0.00279512,kg/MJ,output,mass,GREET,Total from recovery -NA (North America) and non-NA emissions are almost the same.,"NG tab Row 66, 48% conventional, 52% shale"
Shale,No,EDF 2019,Processing,total,co2,,0.001875173,kg/MJ,output,mass,GREET,Total from processing (combustion) -NA (North America) and non-NA emissions are almost the same.,"NG tab Row 66 for shale gas (prcoessing, non-combustion)"
